brain	kidney	liver
ENSMAUG00000000006	14.029274	13.1586745185	12.7997143432857
ENSMAUG00000000010	14.485992	13.51041497275	13.2874002317857
ENSMAUG00000000016	14.822044	14.8685520405	14.2857048370714
ENSMAUG00000000019	14.304418	13.77259639175	13.3311420935714
ENSMAUG00000000021	15.67249	14.1016892395	12.0384660280714
ENSMAUG00000000022	14.887556	14.27518820025	14.0718266562143
ENSMAUG00000000023	14.843734	14.22333373475	13.6569961467857
ENSMAUG00000000025	12.612896	12.1978800205	11.5288344065
ENSMAUG00000000027	13.178974	12.31004723025	11.9494844199286
ENSMAUG00000000028	13.452914	12.80456160275	12.2607854959286
ENSMAUG00000000032	12.762988	12.04905560875	11.9356607415714
ENSMAUG00000000033	12.879152	11.9351566475	12.3312057511429
ENSMAUG00000000035	14.223896	13.63729231375	12.9528049335714
ENSMAUG00000000038	3.6186372	2.42102783125	10.3121521025
ENSMAUG00000000039	6.14922	2.19533675	0.821852794071429
ENSMAUG00000000040	4.5839576	1.77168125	0.408608235785714
ENSMAUG00000000041	1.7955168	1.8953293165	0.742804369428571
ENSMAUG00000000042	4.3171998	2.36079455475	1.07314959864286
ENSMAUG00000000043	3.244448	0.21045475825	0
ENSMAUG00000000044	3.8271316	5.9834105575	6.40463187028571
ENSMAUG00000000045	4.1313552	4.63144895075	2.64010140857143
ENSMAUG00000000046	1.143769	0.39310451425	0.00687876714285714
ENSMAUG00000000047	4.5016282	1.07118925	5.58887774935714
ENSMAUG00000000048	6.2410694	2.61720795675	1.56035585328571
ENSMAUG00000000049	6.22172	7.26127154625	1.51096021428571
ENSMAUG00000000050	4.0575556	4.29639530575	6.87723361485714
ENSMAUG00000000051	10.296114	6.87697907125	5.40056929114286
ENSMAUG00000000052	7.7495556	5.85644555225	5.03873622035714
ENSMAUG00000000053	0.56817578	1.8077026685	0.391823820928571
ENSMAUG00000000054	2.724339	2.109971169	2.77419350528571
ENSMAUG00000000055	0.240604296	0.054008482	0
ENSMAUG00000000056	0.03912042	0	0
ENSMAUG00000000057	4.0475584	2.4447286295	1.1802279835
ENSMAUG00000000058	3.9046408	3.796952191	2.5457531255
ENSMAUG00000000059	4.2289248	0.822252125	0.0678679614285714
ENSMAUG00000000060	3.7336172	0	0.00831894285714286
ENSMAUG00000000061	0	0	0
ENSMAUG00000000062	0.76600188	0.64793758125	0.1482460345
ENSMAUG00000000063	1.07371128	4.17556804675	4.910816112
ENSMAUG00000000064	5.0891514	1.43334975	0.0382325585714286
ENSMAUG00000000065	1.69779	1.51876360425	1.28995154835714
ENSMAUG00000000066	3.1594172	2.5352395445	0.00759883328571429
ENSMAUG00000000067	1.8348794	2.90966913925	1.46053769135714
ENSMAUG00000000068	4.2113806	3.99773871325	2.56811278914286
ENSMAUG00000000069	0.06917828	0	0
ENSMAUG00000000070	6.7839686	0.8073350325	0.609885666785714
ENSMAUG00000000071	3.4829114	3.949095474	3.37778795414286
ENSMAUG00000000072	0	0	0
ENSMAUG00000000073	4.488826	1.8417686105	2.90897564085714
ENSMAUG00000000074	11.328472	7.9259190355	6.17762529271429
ENSMAUG00000000075	1.617875	0.23670559825	0.0207924285714286
ENSMAUG00000000076	0	0	0
ENSMAUG00000000077	2.1189754	0	0
ENSMAUG00000000078	6.230778	6.07422826275	4.75065427485714
ENSMAUG00000000079	5.1492312	3.71308524075	3.11513060692857
ENSMAUG00000000080	0	0.031601559	0.0296739207857143
ENSMAUG00000000081	4.3021248	4.58882665575	4.16216401671429
ENSMAUG00000000082	3.7165508	4.140566668	1.0858968815
ENSMAUG00000000083	0.313685546	0.0164657575	0
ENSMAUG00000000084	0.57608176	0	0.0341298
ENSMAUG00000000085	4.8768748	4.58568570125	2.21135187428571
ENSMAUG00000000086	0.2640808	0	0.285618136714286
ENSMAUG00000000087	6.5620606	5.8444294065	5.47107730414286
ENSMAUG00000000088	1.5614665	0.7626402215	1.73745034921429
ENSMAUG00000000089	6.8209042	1.27056531625	1.33450722328571
ENSMAUG00000000090	2.84093	2.44873326475	1.65137782814286
ENSMAUG00000000091	0.065748664	0.29776305125	0.00987768571428571
ENSMAUG00000000092	4.8339124	5.85078840275	5.0219778195
ENSMAUG00000000093	4.1422632	0.930285737	0
ENSMAUG00000000094	0	0	0
ENSMAUG00000000095	3.1473004	2.28558030625	2.3215829905
ENSMAUG00000000096	5.7897476	4.12872475	3.84410871214286
ENSMAUG00000000097	2.7254778	3.402532569	6.02307486785714
ENSMAUG00000000098	0	0	0
ENSMAUG00000000099	6.1289304	2.176326303	0.455070485071429
ENSMAUG00000000100	0	0	0
ENSMAUG00000000101	0.1561027	1.201686306	13.560002329
ENSMAUG00000000102	1.9610336	1.5357462855	0.573779000142857
ENSMAUG00000000103	1.6807365	0.0662652925	0
ENSMAUG00000000104	1.8019978	0.59526586775	0.520884486428571
ENSMAUG00000000105	4.9782756	0.185089675	0.0459532785714286
ENSMAUG00000000106	2.23534	2.22361726025	0.733359368714286
ENSMAUG00000000107	0.02528992	0.0939072985	0.00681117214285714
ENSMAUG00000000108	4.156296	2.242052976	0.084803491
ENSMAUG00000000109	1.7968518	1.647575235	1.34277403485714
ENSMAUG00000000110	1.781708	2.80272725	0.201989225714286
ENSMAUG00000000111	4.561175	4.5964138345	4.61660780857143
ENSMAUG00000000112	12.62307	0	0.0982250714285714
ENSMAUG00000000113	0.39037438	0.46250895	0.724790296785714
ENSMAUG00000000114	0	0	0
ENSMAUG00000000115	5.8554836	5.75464915475	4.78773343664286
ENSMAUG00000000116	0.30290564	0.0732131	0
ENSMAUG00000000117	4.9346094	4.903160178	4.0689671425
ENSMAUG00000000118	3.8946496	0.19695339175	0
ENSMAUG00000000119	4.2470874	3.76206466625	2.78119587728571
ENSMAUG00000000120	0.78014116	0.00573241325	0.368649438214286
ENSMAUG00000000121	2.0919892	2.47517577575	1.07911125257143
ENSMAUG00000000122	6.3130814	4.0638664755	1.263586564
ENSMAUG00000000123	5.1913516	5.08436050275	2.84335248121429
ENSMAUG00000000124	0.269361834	1.10283475	0.0322182092857143
ENSMAUG00000000125	6.5810698	7.75591292575	6.46613584642857
ENSMAUG00000000126	0.84335566	1.720030831	1.64417232285714
ENSMAUG00000000127	3.359593	4.2865873355	4.71734823042857
ENSMAUG00000000128	3.6544444	5.36951640025	3.53524533785714
ENSMAUG00000000129	2.64688	0	0.0230872928571429
ENSMAUG00000000130	6.1958272	5.405724078	6.48401169935714
ENSMAUG00000000131	0.237909484	0.27377155175	0.132986442857143
ENSMAUG00000000132	2.8468352	0	0
ENSMAUG00000000133	4.9472568	4.461859896	4.23320376871429
ENSMAUG00000000134	1.9703318	0.15989487	0
ENSMAUG00000000135	0.016417638	0.01103641	3.18650936271429
ENSMAUG00000000136	5.9124932	0.79370303125	0.0131521264285714
ENSMAUG00000000137	3.054405	3.50117640025	0.01668595
ENSMAUG00000000138	5.8946512	6.170943272	3.88930389921429
ENSMAUG00000000139	4.0765386	2.249467008	0.760216692714286
ENSMAUG00000000140	5.583654	4.78785658425	4.03454717678571
ENSMAUG00000000141	1.17806294	1.021982292	0.2953927915
ENSMAUG00000000142	1.08734514	0.618512475	0.425969578928571
ENSMAUG00000000143	5.6056534	0.3012159385	0.0930902984285714
ENSMAUG00000000144	0.24623084	0.0781861975	0
ENSMAUG00000000145	5.3290266	5.62113547175	4.77161006857143
ENSMAUG00000000146	6.6903704	3.604533288	4.16345125757143
ENSMAUG00000000147	5.4186074	5.9686620675	6.384203269
ENSMAUG00000000148	0.27448896	2.7129770935	0.305664389142857
ENSMAUG00000000149	1.03120496	1.28208825	0.0338853907142857
ENSMAUG00000000150	3.1051612	1.43562191925	0.00514538571428571
ENSMAUG00000000151	0	0.06045364075	0
ENSMAUG00000000152	1.12002036	2.5993335	5.99662198771429
ENSMAUG00000000153	0.12556794	0.135961575	0.683684983857143
ENSMAUG00000000154	0	0	0
ENSMAUG00000000155	7.1782278	4.02901175	4.24424012307143
ENSMAUG00000000156	5.2141208	1.2711935	0.510729902428571
ENSMAUG00000000157	0.02043008	0	0
ENSMAUG00000000158	4.7725538	4.133096575	2.84839049585714
ENSMAUG00000000159	0	0	0
ENSMAUG00000000160	0.12654284	6.290262	6.95218192821429
ENSMAUG00000000161	4.6443838	3.96768872475	3.52127715835714
ENSMAUG00000000162	2.208026	1.80466844675	2.14609118307143
ENSMAUG00000000163	2.760598	2.20421315475	1.36250563028571
ENSMAUG00000000164	3.3095318	0.16687902725	0.00277179785714286
ENSMAUG00000000165	4.6222166	0.005678415	0.00197957357142857
ENSMAUG00000000166	4.7136754	4.9014028855	4.13850013321429
ENSMAUG00000000167	1.890275	3.1521592425	6.6663876275
ENSMAUG00000000168	4.7472076	4.809171211	2.70884302592857
ENSMAUG00000000169	0	0	0
ENSMAUG00000000170	0.77727218	0.41251074325	0.0601647245
ENSMAUG00000000171	1.6819668	0	0
ENSMAUG00000000172	5.8945232	5.15074316375	4.74305877807143
ENSMAUG00000000173	6.7243286	5.319786375	4.323398081
ENSMAUG00000000174	2.335138	1.696182953	2.40991834742857
ENSMAUG00000000175	0.01562815	0	0
ENSMAUG00000000176	5.84426	5.5081749775	3.39704051121429
ENSMAUG00000000177	5.279789	3.2529515635	1.1056959215
ENSMAUG00000000178	1.14954768	1.61354202775	0.362727813857143
ENSMAUG00000000179	2.634923	1.34683066175	0.779020783071429
ENSMAUG00000000180	4.9461832	2.9071275	3.39949661364286
ENSMAUG00000000181	4.3560632	2.94630204575	3.79667486971429
ENSMAUG00000000182	2.2113466	2.40543515	0.0633258987857143
ENSMAUG00000000183	3.6203996	4.46438514975	1.41191422721429
ENSMAUG00000000184	0.02872806	0	0
ENSMAUG00000000185	0.46530486	0.294745055	0.235408499142857
ENSMAUG00000000186	2.7553174	3.2916959675	2.42398457535714
ENSMAUG00000000187	5.353148	4.977792629	2.44668502014286
ENSMAUG00000000188	0	0	0.0264168357142857
ENSMAUG00000000189	0.02430408	0	0
ENSMAUG00000000190	3.4023988	0.79467661025	0.361494579642857
ENSMAUG00000000191	5.2395736	5.49769573375	4.72860823985714
ENSMAUG00000000192	6.7108336	4.07815791475	4.17924390592857
ENSMAUG00000000193	8.4293284	9.05790409975	8.89297004971429
ENSMAUG00000000194	1.2881956	0.7866593335	0.552882687714286
ENSMAUG00000000195	0.33659498	0	0
ENSMAUG00000000196	1.6967092	4.921173	10.3385519331429
ENSMAUG00000000197	4.8730108	5.84409270025	4.19989231442857
ENSMAUG00000000198	5.253194	3.25629936025	0.990135037714286
ENSMAUG00000000199	3.8696006	3.47995870525	1.75047060878571
ENSMAUG00000000200	5.041597	5.40501493225	3.48740404307143
ENSMAUG00000000201	4.7673224	4.12891950825	2.66036850714286
ENSMAUG00000000202	0.06532794	0	0.0370822457857143
ENSMAUG00000000203	1.7112382	1.384836861	0.114041116
ENSMAUG00000000204	0	0.128292075	0
ENSMAUG00000000205	0.051086638	0.04334000625	0
ENSMAUG00000000206	6.5154576	6.071877675	5.53334756714286
ENSMAUG00000000207	4.830013	1.79311275	0.911768279857143
ENSMAUG00000000208	0.74386068	1.30794665625	3.6727735355
ENSMAUG00000000209	4.8577652	4.00924164725	2.52484823578571
ENSMAUG00000000210	0.14569816	0	0
ENSMAUG00000000211	1.14338862	1.98858922025	3.88781715642857
ENSMAUG00000000212	3.9466098	2.45946225	0.910325957357143
ENSMAUG00000000213	3.0657324	2.42815882975	1.39994442157143
ENSMAUG00000000214	3.9848866	2.85475843325	1.7744877735
ENSMAUG00000000215	5.0345274	6.17778376275	4.45459475871429
ENSMAUG00000000216	4.5020004	4.17006403125	3.1500925855
ENSMAUG00000000217	6.5615204	6.91347337	6.08056210807143
ENSMAUG00000000218	1.8462198	1.9983020525	1.01401204342857
ENSMAUG00000000219	0	0	0.0270097481428571
ENSMAUG00000000220	5.134328	5.4434047135	4.51917879771429
ENSMAUG00000000221	0.06462444	0.895225025	0
ENSMAUG00000000222	4.6918326	5.78681876575	3.51970715164286
ENSMAUG00000000223	0.128463046	0.0455084475	0.00417365142857143
ENSMAUG00000000224	0.64034898	0.033028217	1.80565987607143
ENSMAUG00000000225	0.78280808	0.564418868	2.8772602825
ENSMAUG00000000226	1.28181668	0.8112692115	0.0825528142857143
ENSMAUG00000000227	2.7166578	3.13083369175	2.47077748428571
ENSMAUG00000000228	3.5463166	3.25548224425	1.786800696
ENSMAUG00000000229	0	0.0288659	0.183168432642857
ENSMAUG00000000230	0.74973288	1.98217908975	0.294538834142857
ENSMAUG00000000231	1.7468054	1.68395375	6.65850176628571
ENSMAUG00000000232	6.0359782	1.494971914	2.81162048114286
ENSMAUG00000000233	4.1468956	3.99824377	2.83864984964286
ENSMAUG00000000234	3.9551566	3.64489100325	2.97260672992857
ENSMAUG00000000235	3.2478526	1.723663789	1.31481919928571
ENSMAUG00000000236	1.10405956	2.45003019125	0.0646218787142857
ENSMAUG00000000237	1.48800452	0.175124813	0.2046265435
ENSMAUG00000000238	4.102563	3.97266649475	2.21308723014286
ENSMAUG00000000239	4.8362418	4.7698896995	3.47964974521429
ENSMAUG00000000240	3.6482544	2.5351332985	1.20007742221429
ENSMAUG00000000241	0.72012774	0	0
ENSMAUG00000000242	4.1495544	3.9373633215	2.92451238121429
ENSMAUG00000000243	1.37185704	0.2795506945	0
ENSMAUG00000000244	0	0	0
ENSMAUG00000000245	5.8550784	5.2754730435	4.97939789671429
ENSMAUG00000000246	0.03411218	0	0
ENSMAUG00000000247	0.026337054	1.26455475	0
ENSMAUG00000000248	0.58975774	1.3178155575	0.311492905285714
ENSMAUG00000000249	2.8478752	2.91455067675	1.71833189271429
ENSMAUG00000000250	0	0.092075875	0.0307336714285714
ENSMAUG00000000251	4.0940034	3.7983751925	4.06356839614286
