kidney	liver
ENSMICG00000000003	6.11033	4.13592083333333
ENSMICG00000000005	0	0.01894455
ENSMICG00000000006	5.478091	2.2620019
ENSMICG00000000008	3.553026	2.659589
ENSMICG00000000009	4.1268	2.69407016666667
ENSMICG00000000010	0.7914482	0.03020537
ENSMICG00000000014	6.218799	5.222454
ENSMICG00000000016	2.413997	1.227663
ENSMICG00000000017	1.551944	0.0447911016666667
ENSMICG00000000018	3.966631	1.41363715
ENSMICG00000000020	0	0
ENSMICG00000000023	4.523078	1.50442131666667
ENSMICG00000000025	2.213386	0.601063191666667
ENSMICG00000000026	6.060982	3.54503183333333
ENSMICG00000000027	1.478278	0
ENSMICG00000000028	3.504099	1.74509665
ENSMICG00000000029	3.163419	1.76114756666667
ENSMICG00000000030	6.434745	2.59684066666667
ENSMICG00000000032	0	0
ENSMICG00000000033	1.505068	0.0188282866666667
ENSMICG00000000034	4.193392	0.045608335
ENSMICG00000000035	3.742375	1.05168996666667
ENSMICG00000000037	0.06957102	0.0803098783333333
ENSMICG00000000038	5.952811	3.86879016666667
ENSMICG00000000039	6.699556	4.937813
ENSMICG00000000040	2.809824	0.439123648333333
ENSMICG00000000041	7.937697	7.38680366666667
ENSMICG00000000042	4.619289	2.52199266666667
ENSMICG00000000044	3.402264	0.73230895
ENSMICG00000000045	4.96674	3.387716
ENSMICG00000000046	2.772791	0.868952383333333
ENSMICG00000000048	3.190653	2.28941733333333
ENSMICG00000000049	5.422122	3.07487233333333
ENSMICG00000000050	0.2938807	0.075995485
ENSMICG00000000051	2.533648	0.445425913333333
ENSMICG00000000052	4.130073	0.941815325
ENSMICG00000000053	2.028969	1.17322641666667
ENSMICG00000000054	2.540005	1.5622388
ENSMICG00000000056	4.695615	1.0921792
ENSMICG00000000057	0	0.0896238833333333
ENSMICG00000000058	1.693614	0.108873278333333
ENSMICG00000000059	0	0
ENSMICG00000000060	4.655667	3.844689
ENSMICG00000000062	2.500641	1.20873243333333
ENSMICG00000000066	3.738694	1.74842506666667
ENSMICG00000000068	2.875265	2.392263
ENSMICG00000000071	4.600972	3.29854783333333
ENSMICG00000000074	1.944083	0.602122183333333
ENSMICG00000000075	6.234547	4.1764615
ENSMICG00000000077	2.710078	0.240441591666667
ENSMICG00000000078	5.185878	4.26783233333333
ENSMICG00000000079	0.1274879	0.202343186666667
ENSMICG00000000081	0.301703	0.75020935
ENSMICG00000000083	7.048892	7.38359516666667
ENSMICG00000000084	0	0
ENSMICG00000000086	3.248894	2.86213966666667
ENSMICG00000000087	8.813958	8.1068475
ENSMICG00000000089	6.07827	4.63327066666667
ENSMICG00000000091	4.393656	4.15421566666667
