brain	heart	kidney	liver	ovary	testis
ENSMODG00000000001	4.7439409	0.0613063555555556	0.656394555555555	0.115367333333333	2.327752	2.06705222222222
ENSMODG00000000002	1.05726808	2.03368695555556	0.873133266666667	1.50829534	3.85741276	2.28933222222222
ENSMODG00000000003	0	0.0652963333333333	0	0.0656763066666667	0.08682774	5.93990266666667
ENSMODG00000000005	1.34078424	1.42497036666667	3.07985222222222	0.71077978	3.104198	1.95007122222222
ENSMODG00000000006	0.723605411	0.0199496422222222	1.60960166666667	0.287734487333333	1.90018474	3.15625255555556
ENSMODG00000000008	0.28928988	0.0928786555555556	0.0651192111111111	0.129095304	0.02998948	0.0737999555555556
ENSMODG00000000011	4.73687989	0.305764044444444	0.0582231311111111	0.0478933473333333	0.87857702	0.0769074511111111
ENSMODG00000000012	6.2662985	2.67497611111111	4.00759344444444	1.46754842333333	4.816983	2.04538165555556
ENSMODG00000000013	0.114229088	0.336353355555556	0.344179933333333	0.179109633333333	1.725721	0.490649811111111
ENSMODG00000000014	0.03635445	0.222181011111111	0.0979448777777778	0.122822886666667	0.12211752	5.56984644444444
ENSMODG00000000015	0.04420507	0.0377993555555556	0.0524250555555556	0.0853892666666667	0.02598202	0.150948106666667
ENSMODG00000000016	0	0	0.00543587888888889	0.0119170266666667	1.2005908	3.76764444444444
ENSMODG00000000018	0.05660426	0.0373238	0	0.0891298866666667	0.51635296	5.39254666666667
ENSMODG00000000019	0.028189977	0	0	0.332845466666667	0.19512684	0.0395742666666667
ENSMODG00000000020	0.377393068	1.16220087777778	0.468720733333333	0.136158023333333	3.6701854	1.98349466666667
ENSMODG00000000021	1.00972032	0.4407846	0.966038733333333	0.34418692	0.4245399	0.778426988888889
ENSMODG00000000022	3.387427	2.4926106	2.40740553333333	1.10724502666667	2.80131918	4.292274
ENSMODG00000000023	0	0.0812768333333333	0.0936395	0.100751557333333	0.04960518	0.0989581555555556
ENSMODG00000000026	0.012335709	0.0104024411111111	0.191652694444444	0.634543336666667	0.23135648	2.36056222222222
ENSMODG00000000029	0.01194938	0	0.0194276333333333	0.02872636	0.55671238	0.0240170111111111
ENSMODG00000000031	5.3978705	7.46052577777778	6.39039088888889	5.33549516666667	7.0855488	6.33732177777778
ENSMODG00000000032	1.72638665	0.324472577777778	0.3512485	0.518914686666667	1.2956522	0.362809298888889
ENSMODG00000000033	3.35993204	0.178399823333333	0.575305824444444	0	0.57502984	0.726269266666667
ENSMODG00000000034	2.6929903	5.75405844444444	0.791343077777778	0.179443631333333	2.5765254	0.318037911111111
ENSMODG00000000035	4.5080616	3.97730501111111	3.91699322222222	3.83813406	5.039384	3.23746584444444
ENSMODG00000000036	0.19910143	0.681231288888889	0.198256808888889	0.114867229333333	0.866522	0.501737166666667
ENSMODG00000000038	0.05217473	0	4.53126911111111	0.03116518	0.2125182	0.0424163777777778
ENSMODG00000000040	1.43542185	1.69800672222222	1.87336177777778	1.12607851333333	5.2231714	2.09745411111111
ENSMODG00000000041	0.01554673	0.319778955555556	0	0	0.11763328	0.267409711111111
ENSMODG00000000042	7.1020547	1.18172522222222	1.92712068888889	1.068039706	4.1050714	3.89827177777778
ENSMODG00000000043	3.7512785	4.04442755555556	3.84594244444444	3.38209752666667	4.0542052	3.909963
ENSMODG00000000044	0.733804714	0.820872844444444	0.573298111111111	0.160736951333333	2.451685	0.493137166666667
ENSMODG00000000048	0.233671522	0.100472356666667	0.0388272311111111	0.00553889146666667	0.228390398	4.48880888888889
ENSMODG00000000049	0.5355886	2.28022911111111	4.48534311111111	3.51928866	3.964248	1.93681411111111
ENSMODG00000000050	0.11102447	0.0842767477777778	0	0	0.096581574	0.109409181111111
ENSMODG00000000052	2.3156969	2.84720088888889	2.56208718711111	1.68078382	3.5605888	3.08369944444444
ENSMODG00000000053	1.29998461	0.138902845555556	0.14934681	0.233575598666667	0.38472237	0.509475111111111
ENSMODG00000000054	0.069675197	0.143757867777778	0.0295704888888889	2.59475934	0.070165538	1.21563101
ENSMODG00000000056	2.59917924	4.08685855555556	3.46950844444444	3.01546573333333	4.9495784	4.94743577777778
ENSMODG00000000057	0.33508899	0.243286688888889	0	0	1.41673492	0.502617455555556
ENSMODG00000000058	0.110180047	0	0	0	1.47227316	1.878621
ENSMODG00000000060	1.55132422	0.237101544444444	1.03031615555556	2.66277056666667	0.68035252	0.160710033333333
ENSMODG00000000063	0	1.92342044444444	0.521378333333333	0.00321048066666667	1.21568216	0.00836481111111111
ENSMODG00000000065	1.88433841	3.13420122222222	3.03243955555556	3.38378753333333	3.6148764	2.23203533333333
ENSMODG00000000067	3.7392756	4.72258788888889	4.04847655555556	4.22222364	5.4060556	6.05729444444444
ENSMODG00000000068	3.7381142	3.28988855555556	4.310606	4.24998477333333	3.4184766	3.39500277777778
ENSMODG00000000074	0.12531961	0.143332071111111	0.0885333344444444	0.0630514106666667	0.114921774	0.805686222222222
ENSMODG00000000076	0.618118239	0.461523494444444	0.107299812222222	0.0145665786666667	1.4298758	0.553597311111111
ENSMODG00000000077	0.4970932	0.961909522222222	0.159562966666667	0.376238547173333	0.08330396	0.618542711111111
ENSMODG00000000079	0.75724927	0.179059933333333	1.02325341111111	0.428543433333333	1.6629605	4.921538
ENSMODG00000000081	0	0	0	0	0.02877168	0
ENSMODG00000000082	3.2912028	4.21203411111111	3.00330733333333	2.94414064	4.692625	5.459819
ENSMODG00000000083	4.2012933	4.27498811111111	3.37960666666667	3.63391924	4.8498926	4.57323466666667
ENSMODG00000000084	0.21488348	0.149716655555556	0.290719188888889	0.359040431333333	0.10784484	0.0938755222222222
ENSMODG00000000085	0.237920734	6.29546877777778	0.146140732222222	1.39418784	0.137858208	0.00641215111111111
ENSMODG00000000086	0.20576149	0.439904533333333	0.292419533333333	0.251075694666667	0.8207593	0.518919533333333
ENSMODG00000000087	3.7133584	3.845777	1.97409844444444	2.10550316	4.654521	2.52454988888889
ENSMODG00000000088	3.11071075	3.494653	3.35219355555556	3.41447614666667	4.8794076	2.65337911111111
ENSMODG00000000089	2.8848849	4.79175655555556	3.59938411111111	3.46115787333333	5.1436068	3.89805522222222
ENSMODG00000000090	3.3738773	4.04646377777778	3.56548755555556	6.3337352	5.112317	3.50217888888889
ENSMODG00000000092	4.8508462	2.01970197777778	2.19802725555556	0.1643035114	3.9271598	3.55844978888889
ENSMODG00000000094	3.7617538	6.18353622222222	2.50906533333333	2.60715206	4.7223726	5.82807133333333
ENSMODG00000000095	1.24588513	0.908560422222222	0.813157966666667	3.81783246666667	1.548542	1.15213367777778
ENSMODG00000000097	3.347414	2.35671877777778	1.1433507	1.15689791466667	4.2493606	4.19867222222222
ENSMODG00000000098	7.8015474	10.8044925555556	9.90008844444444	9.3387486	9.5725524	7.72909688888889
ENSMODG00000000099	3.37815307	0.0490557633333333	0.0119748233333333	0.006239569	0.59767386	0.551844155555556
ENSMODG00000000101	4.1075034	4.27171444444444	4.62937358888889	5.1069308	1.51295432	1.07812544444444
ENSMODG00000000102	0.316485464	0.169694433333333	2.97386955555556	5.42128373333333	1.47030524	1.24824476666667
ENSMODG00000000104	1.91910832	1.88309177777778	2.26307388888889	1.03210556	4.0340868	1.24470105555556
ENSMODG00000000105	0.56953487	4.87997655555556	0.10535971	0.16397786	0.37313462	0.978828422222222
ENSMODG00000000106	0	0.0148740222222222	0.0113995888888889	0.048753944	0.07684622	0.201886688888889
ENSMODG00000000107	3.28296282	4.14368911111111	2.69352211111111	2.7458329	4.6480596	3.53073644444444
ENSMODG00000000109	3.30820379	2.57225244444444	3.97702277777778	1.93310556	4.6471328	4.12712533333333
ENSMODG00000000111	2.9423636	2.82768633333333	2.37236777777778	2.03900143333333	3.2767856	2.72985266666667
ENSMODG00000000113	0.232800907	0.0268254033333333	0.241016201111111	0.0862505668666667	5.6981126	0.0161444177777778
ENSMODG00000000115	2.16138621	1.639311	3.38171822222222	6.01738533333333	2.6673674	4.063665
ENSMODG00000000116	2.9300623	3.89618188888889	3.11435266666667	2.08051764666667	4.3928142	4.48495944444444
ENSMODG00000000117	3.25086288	0.0160888244444444	2.01237475555556	0.202522913333333	2.0822684	0.974314044444444
ENSMODG00000000118	2.34327228	3.33133766666667	2.61029655555556	3.29926656666667	4.018556	3.10977422222222
ENSMODG00000000120	0.278292353	0.2718913	0.0933941111111111	0.134157320666667	0	2.479498
ENSMODG00000000121	3.3359657	4.76062233333333	4.67745877777778	3.24914565333333	6.2619534	3.52342588888889
ENSMODG00000000122	2.9533381	1.25875702222222	0.740590844444444	2.96469156666667	1.9923906	4.17202822222222
ENSMODG00000000123	0.364622822	0.0541673222222222	0.0801914888888889	0.115689121333333	0.55043378	0.761352922222222
