brain	heart	kidney	liver	testis
MGP_CAROLIEiJ_G0000003	0.70524945	1.1949535	4.4576145	1.3555286	0
MGP_CAROLIEiJ_G0000004	0	0.0637603	0.1058114	0	0
MGP_CAROLIEiJ_G0000005	3.6760715	2.4449615	6.438012	1.25542983333333	0.07537189
MGP_CAROLIEiJ_G0000006	1.19525725	0.41547255	3.3256805	1.11876981666667	0
MGP_CAROLIEiJ_G0000007	0.6862428	0.57301865	2.779895	0.117321216666667	0
MGP_CAROLIEiJ_G0000008	0.36275705	1.13140395	0.57856645	0.80252415	0.1728843
MGP_CAROLIEiJ_G0000009	2.7620315	3.268903	3.6399835	1.85812116666667	0.6231673
MGP_CAROLIEiJ_G0000010	1.0853535	1.778809	4.1451445	1.34884598333333	0.4961085
MGP_CAROLIEiJ_G0000011	0	0	0	0	0
MGP_CAROLIEiJ_G0000012	1.2283155	1.6777045	4.869089	1.1256372	0
MGP_CAROLIEiJ_G0000013	0	0	0	0.0583022666666667	0
MGP_CAROLIEiJ_G0000014	0	0	0	0	0
MGP_CAROLIEiJ_G0000018	1.695368	3.1312515	6.007564	2.46420116666667	0
MGP_CAROLIEiJ_G0000019	0	0	2.7775275	0.622861333333333	0
MGP_CAROLIEiJ_G0000020	1.5511495	3.728474	6.634066	3.69313516666667	0
MGP_CAROLIEiJ_G0000021	1.491117	1.887014	4.9662435	2.79625566666667	0
MGP_CAROLIEiJ_G0000022	0	4.721722	2.691057	1.0544775	0
MGP_CAROLIEiJ_G0000023	0	0	0	0	0
MGP_CAROLIEiJ_G0000024	1.6678325	1.9123025	6.5961495	1.68677283333333	0
MGP_CAROLIEiJ_G0000025	1.6069985	4.4381145	5.9865505	1.32955666666667	0
MGP_CAROLIEiJ_G0000026	0	0	0	0	0
MGP_CAROLIEiJ_G0000027	3.966203	0	5.2674535	0	0
MGP_CAROLIEiJ_G0000028	0	1.392567	6.0047925	0.4144695	0
MGP_CAROLIEiJ_G0000029	0	0	0.8620099	0	0
MGP_CAROLIEiJ_G0000030	0	0.32314585	0	0.1334729	0
MGP_CAROLIEiJ_G0000031	0.3613318	0	0.8605116	0	0.3989643
MGP_CAROLIEiJ_G0000032	0	0	0	0	0
MGP_CAROLIEiJ_G0000033	0	0	0.9897495	0.176286833333333	0
MGP_CAROLIEiJ_G0000034	1.17485891e-05	1.702109	4.032023	0.754851100978767	0
MGP_CAROLIEiJ_G0000035	1.15838095	0	0	0.318478833333333	0
MGP_CAROLIEiJ_G0000036	0	0	0	0	0
MGP_CAROLIEiJ_G0000037	0.33940465	1.44316075	4.210494	0.3476582	0.3027682
MGP_CAROLIEiJ_G0000038	0.9918683	0.8710635	3.5234495	0	0
MGP_CAROLIEiJ_G0000039	0	0.5597145	0.30496635	0.0954531666666667	0
MGP_CAROLIEiJ_G0000040	0	0	1.21986165	0	0
MGP_CAROLIEiJ_G0000041	0	0	0	0	0
MGP_CAROLIEiJ_G0000042	0.48985905	1.05253	2.685439	0.3007309	0
MGP_CAROLIEiJ_G0000043	0	0.6143815	0.9138246	0	0
MGP_CAROLIEiJ_G0000044	0	0	2.715828	0.184905666666667	0.3966692
MGP_CAROLIEiJ_G0000045	0.5447525	0.6591525	4.031369	0.387307083333333	0.3180924
MGP_CAROLIEiJ_G0000046	0	0	0	0	0
MGP_CAROLIEiJ_G0000047	0	0	0.694756	0.0880115333333333	0
MGP_CAROLIEiJ_G0000048	0.3630324	1.875464	5.2963415	0.308499333333333	0
MGP_CAROLIEiJ_G0000049	0	0	0	0.233440416666667	0
MGP_CAROLIEiJ_G0000050	1.299224	1.4618115	4.3308715	0.4704375	0
MGP_CAROLIEiJ_G0000051	0	0.6132325	2.889382	0.240302233333333	0
MGP_CAROLIEiJ_G0000052	0.35143335	0	0.553382	0.206727483333333	0
MGP_CAROLIEiJ_G0000053	0	0	2.988371	0.16298305	0
MGP_CAROLIEiJ_G0000054	0	0	1.5222925	0	0
MGP_CAROLIEiJ_G0000055	0	0.9574018	0.8347245	0	0
MGP_CAROLIEiJ_G0000056	0	0	2.605057	0	0
MGP_CAROLIEiJ_G0000057	0	0	1.004894	0.0891087166666667	0
MGP_CAROLIEiJ_G0000058	0	0	0	0	0
MGP_CAROLIEiJ_G0000059	0.83048595	0.3451877	3.2417385	0.198378816666667	0
MGP_CAROLIEiJ_G0000060	0.503605	0.188163	2.916677	0.0391644666666667	0
MGP_CAROLIEiJ_G0000061	0	0.29967415	3.4890795	0.158586516666667	0
MGP_CAROLIEiJ_G0000062	0.3769182	0	3.3121135	0.15592265	0.3966692
MGP_CAROLIEiJ_G0000063	0.7303845	0.6684245	3.3420845	0.144712783333333	0
MGP_CAROLIEiJ_G0000064	0	0.4090142	0.7256335	0	0
MGP_CAROLIEiJ_G0000065	0.39500605	1.0769357	1.5942063	0	0
MGP_CAROLIEiJ_G0000066	0	0.5631925	3.181934	0.380365216666667	0.7001831
MGP_CAROLIEiJ_G0000067	0.93723405	0	0	0.0761905833333333	0
MGP_CAROLIEiJ_G0000068	0	0	0.5844655	0	0
MGP_CAROLIEiJ_G0000069	0	0.6214935	4.5952795	0.217427333333333	0
MGP_CAROLIEiJ_G0000070	0	0	0.31384405	0	0
MGP_CAROLIEiJ_G0000071	0	0	0	0.1024383	0
MGP_CAROLIEiJ_G0000072	0.6924695	0.9533756	4.501188	0.269936266666667	0
