brain	heart	kidney	liver	ovary	testis
ENSMUSG00000000001	4.56286	4.59518533333333	5.943264	5.43850185714286	6.94447833333333	4.57266225
ENSMUSG00000000003	0	0	0	0	0	0.0716546
ENSMUSG00000000028	1.58847377777778	2.24605633333333	1.59906214285714	0.910226442857143	3.49985166666667	4.671938
ENSMUSG00000000037	0.974154866666667	0.734443	0.381787571428571	0.0170267868571429	2.42412133333333	4.0037725
ENSMUSG00000000049	1.18380743333333	1.33514276666667	4.35664671428571	11.2984242857143	0.912927833333333	5.94042
ENSMUSG00000000056	5.28464955555556	5.926807	4.82541957142857	4.868781	4.12741933333333	1.99162075
ENSMUSG00000000058	4.48108944444444	6.10969766666667	4.57178328571429	1.75302178571429	5.67863633333333	0.808318425
ENSMUSG00000000078	4.75331277777778	5.37712966666667	4.16882257142857	2.16375785714286	5.74242766666667	2.135548
ENSMUSG00000000085	6.171	5.179877	4.82735557142857	3.128143	5.481136	6.5251245
ENSMUSG00000000088	8.53894766666667	10.5887966666667	9.57249942857143	8.36507342857143	7.595957	7.637457
ENSMUSG00000000093	1.32755327777778	2.36655633333333	4.824284	0.931604142857143	4.12141366666667	0.782886175
ENSMUSG00000000094	0.273588342222222	0.0327413833333333	0.0831469942857143	0.0188823771428571	1.35159746666667	0.610065225
ENSMUSG00000000103	0	0	0	0	0	2.43732475
ENSMUSG00000000120	2.14406433333333	0.720453966666667	1.21271462857143	1.31984587142857	2.224491	3.19326875
ENSMUSG00000000125	2.2529836	0	0.0381594628571429	0.000771609571428571	0.03892022	3.813908
ENSMUSG00000000126	3.43996211111111	2.00041766666667	0.898953457142857	0.362062585714286	1.57693366666667	0.3348159
ENSMUSG00000000127	3.88608522222222	3.48793633333333	2.67178371428571	2.35876557142857	4.64172933333333	4.81717925
ENSMUSG00000000131	6.54074622222222	5.04465766666667	5.43030442857143	4.63093671428571	6.17559233333333	7.6729035
ENSMUSG00000000134	4.97005911111111	3.785532	4.24271	3.77650714285714	4.59221133333333	3.32587125
ENSMUSG00000000142	4.31702777777778	1.68102406666667	1.199624	2.24223542857143	4.37245	1.61828
ENSMUSG00000000148	4.27120811111111	2.80533666666667	3.57951457142857	2.75101385714286	3.329987	3.47885325
ENSMUSG00000000149	6.35254366666667	6.229322	6.49746771428571	6.151938	5.64655133333333	4.41151575
ENSMUSG00000000154	0.897208466666667	1.43015033333333	9.38073042857143	6.86923128571429	1.66847266666667	3.67052025
ENSMUSG00000000157	0.134669961111111	0	2.65998642857143	1.52303994285714	1.19528806666667	0.20970603
ENSMUSG00000000159	0.827813422222222	0.4383216	6.30774857142857	4.76625157142857	3.48277566666667	1.258277875
ENSMUSG00000000167	3.05160844444444	1.62786633333333	2.556181	1.16345042857143	3.739689	5.854136
ENSMUSG00000000168	6.578747	7.678594	6.95560985714286	5.14409585714286	6.05240833333333	6.26781425
ENSMUSG00000000171	6.71069255555556	8.96446733333333	8.53534471428571	7.60433514285714	6.61087533333333	4.92407025
ENSMUSG00000000182	0.621668744444444	0.0865711166666667	0.00978850142857143	0.0388489988571429	0.222519076666667	0.171969775
ENSMUSG00000000183	0.338103855555556	0.513591766666667	0.0908379871428572	0.0671676628571429	0.08694715	0.2267349325
ENSMUSG00000000184	5.48915933333333	5.214982	3.17115342857143	2.28874314285714	6.513351	2.12437875
ENSMUSG00000000194	5.111396	4.17209666666667	5.01043528571429	3.47008285714286	5.605568	5.50772025
ENSMUSG00000000197	5.41705922222222	0.651291133333333	0.593683471428571	0.201251428571429	1.41166333333333	1.123149875
ENSMUSG00000000202	4.84287733333333	0	0.2557513	0	1.26444946666667	0.703290975
ENSMUSG00000000204	0.155491222222222	0.842609533333333	0.322633068571429	0.139794038571429	3.23525033333333	0.574787725
ENSMUSG00000000214	3.49429322222222	0.187993273333333	0.474390751428571	0.0127977214285714	1.0747243	1.188588925
