brain	liver	ovary	testis
ENSMEUG00000000001	NA	0	NA	0
ENSMEUG00000000002	NA	0.0343191725	NA	3.920817
ENSMEUG00000000003	NA	6.2570330215	NA	5.778821
ENSMEUG00000000004	NA	2.425691791	NA	1.565982
ENSMEUG00000000005	NA	2.955481488	NA	2.529873
ENSMEUG00000000006	NA	2.2990224655	NA	7.577384
ENSMEUG00000000007	NA	8.018860553	NA	8.295126
ENSMEUG00000000008	NA	1.4273260185	NA	2.380865
ENSMEUG00000000009	NA	0.0272674175	NA	4.570748
ENSMEUG00000000010	NA	0.0728452045	NA	0.6424447
ENSMEUG00000000011	NA	2.2216460825	NA	3.176533
ENSMEUG00000000012	NA	3.0914371595	NA	3.733463
ENSMEUG00000000013	NA	2.409337442	NA	3.365835
ENSMEUG00000000014	NA	7.753320122	NA	1.432265
ENSMEUG00000000015	NA	1.3951881525	NA	6.43302
ENSMEUG00000000016	NA	9.3497835715	NA	5.141592
ENSMEUG00000000017	NA	4.489289953	NA	4.762971
ENSMEUG00000000018	NA	2.2923328755	NA	1.939441
ENSMEUG00000000019	NA	5.307363862	NA	6.387842
ENSMEUG00000000020	NA	3.519300337	NA	7.524534
ENSMEUG00000000021	NA	3.372006735	NA	0.5127669
ENSMEUG00000000022	NA	3.1963873	NA	5.281654
ENSMEUG00000000023	NA	6.642598337	NA	6.578213
ENSMEUG00000000024	NA	0	NA	0
ENSMEUG00000000025	NA	2.627351441	NA	3.846243
ENSMEUG00000000026	NA	4.0572609125	NA	3.788894
ENSMEUG00000000027	NA	4.40043668	NA	4.049465
ENSMEUG00000000028	NA	3.3969375935	NA	3.223438
ENSMEUG00000000029	NA	0.062752825	NA	0.125796
ENSMEUG00000000030	NA	1.901293968	NA	3.245607
ENSMEUG00000000031	NA	3.9206064945	NA	5.29605
ENSMEUG00000000032	NA	3.611015799	NA	4.727305
ENSMEUG00000000033	NA	0.3003186125	NA	4.887028
ENSMEUG00000000034	NA	3.275204659	NA	4.498781
ENSMEUG00000000035	NA	4.4858104595	NA	0
ENSMEUG00000000036	NA	0	NA	0.05724715
ENSMEUG00000000037	NA	0.099157917	NA	1.592373
ENSMEUG00000000038	NA	0	NA	0
ENSMEUG00000000039	NA	4.355270915	NA	7.860994
ENSMEUG00000000040	NA	0	NA	3.174637
ENSMEUG00000000041	NA	1.7825968675	NA	1.341138
ENSMEUG00000000042	NA	1.8844468975	NA	2.117984
ENSMEUG00000000043	NA	0.941515495	NA	1.795031
ENSMEUG00000000044	NA	2.0082493065	NA	0.1180613
ENSMEUG00000000045	NA	1.051350302	NA	9.043241
ENSMEUG00000000046	NA	2.650573061	NA	4.653719
ENSMEUG00000000047	NA	1.7206461115	NA	3.683618
ENSMEUG00000000048	NA	0	NA	0.07973022
ENSMEUG00000000049	NA	4.5210960065	NA	4.00091
ENSMEUG00000000050	NA	2.801323238	NA	1.198331
ENSMEUG00000000051	NA	0	NA	0.4404186
ENSMEUG00000000052	NA	1.583581415	NA	2.631584
ENSMEUG00000000053	NA	1.1630507555	NA	4.640528
ENSMEUG00000000054	NA	1.1687624195	NA	2.129685
ENSMEUG00000000055	NA	0.086323121	NA	4.423195
ENSMEUG00000000056	NA	0.2108218085	NA	0.06801159
ENSMEUG00000000057	NA	2.805495197	NA	6.26311
ENSMEUG00000000058	NA	4.7934293305	NA	4.316066
ENSMEUG00000000059	NA	0	NA	0
ENSMEUG00000000060	NA	0.05133215	NA	0.6568249
ENSMEUG00000000061	NA	0.234244642	NA	0
ENSMEUG00000000062	NA	0.4941379715	NA	2.310416
ENSMEUG00000000063	NA	4.7250221855	NA	1.635727
ENSMEUG00000000064	NA	4.908881272	NA	2.232532
ENSMEUG00000000065	NA	0.3609229295	NA	4.204
ENSMEUG00000000066	NA	0	NA	1.803244
ENSMEUG00000000067	NA	2.6594015375	NA	2.974074
ENSMEUG00000000068	NA	3.130351573	NA	5.26685
ENSMEUG00000000069	NA	5.030178175	NA	6.639005
ENSMEUG00000000070	NA	6.5854252435	NA	7.364362
ENSMEUG00000000071	NA	0	NA	0
ENSMEUG00000000072	NA	1.4115150825	NA	2.624597
ENSMEUG00000000073	NA	0	NA	0
ENSMEUG00000000074	NA	6.7024155345	NA	6.840929
ENSMEUG00000000075	NA	1.2573405335	NA	0.08509148
ENSMEUG00000000076	NA	3.402086176	NA	3.461686
ENSMEUG00000000077	NA	0.0592132	NA	1.022815
ENSMEUG00000000078	NA	0.347518967	NA	1.419075
