brain	heart	kidney	liver	ovary	testis
ENSONIG00000000001	3.78676014285714	4.081687	2.84319184125	2.61689682188889	5.393348	5.725569
ENSONIG00000000002	6.03292914285714	5.803888	4.59921262625	3.75885963305556	6.242733	7.141697
ENSONIG00000000003	8.06678585714286	2.286337	0.24699462875	0.093486221	0.58834295	3.2968375
ENSONIG00000000004	2.773935	2.438035	1.29661221	2.01945175838889	3.830817	3.6781225
ENSONIG00000000005	3.78285585714286	2.564293	2.16558830125	1.13031858461111	3.605522	5.318343
ENSONIG00000000006	10.7557971428571	11.54242	12.19951539125	11.1928143021667	10.290507	11.225075
ENSONIG00000000007	0.0527469857142857	0	0	0.0293824527777778	0.1804026	1.7783608
ENSONIG00000000008	0.0597250714285714	6.122584	0	0.04199095	0.16880705	1.89514885
ENSONIG00000000009	3.48737885714286	0.9474096	1.625157145	1.52137588566667	2.303781	3.500876
ENSONIG00000000010	3.89287357142857	3.544718	5.80162914625	2.51180386077778	3.7157475	4.658463
ENSONIG00000000011	4.104206	2.327828	3.39644913125	3.86081091611111	6.921978	5.0156785
ENSONIG00000000012	2.77070857142857	1.297461	1.2200139	1.29912054922222	4.746716	4.1024175
ENSONIG00000000013	3.149838	3.220209	4.14515912625	3.76492003805556	3.994457	4.750963
ENSONIG00000000014	3.57167028571429	3.853067	3.165856915	1.86989147611111	5.0230635	5.1569965
ENSONIG00000000015	4.08060328571429	1.613112	1.97004649625	1.26784035594444	5.2494285	5.762992
ENSONIG00000000016	0.0665285571428571	0	0	0.00270042	0	1.5705765
ENSONIG00000000017	2.26170114285714	0.04138556	0.0114319475	0.00961242177777778	0.10531155	1.451086265
ENSONIG00000000018	0.290009457142857	0.2447276	0.116773925	0.0271134944444444	5.8140775	2.37882845
ENSONIG00000000019	4.36479457142857	2.556848	3.42787004375	2.20157425283333	4.9450085	6.4449605
ENSONIG00000000020	0.772758328571429	1.724183	0.77037711125	0.229065860055556	2.3918215	1.6963726
ENSONIG00000000021	9.46426328571428	5.648227	6.59699852375	4.30792391488889	7.532832	6.376612
ENSONIG00000000022	0.188710714285714	0	0.0559855875	0.205577012277778	0.9426255	2.88480785
ENSONIG00000000023	0.267467571428571	0	0.0123220675	0.0538661337777778	0.08730355	2.483312
ENSONIG00000000024	0.0877332857142857	0	0	0.0796097315	0.271627965	2.48889235
ENSONIG00000000025	0.202063471428571	0	0.4590260375	1.04454507322222	0.1096298	1.98508465
ENSONIG00000000026	0	0	0.0128223875	0.225267576111111	0.3639855	1.282105
ENSONIG00000000027	0.0623868571428571	0.1246512	1.09989180375	0.0639219894444444	0.09320554	1.0617155
ENSONIG00000000028	2.57732657142857	0.7161841	1.926742375	1.16069332283333	1.5470795	2.2482275
ENSONIG00000000029	6.854051	6.09499	6.48544457625	5.63473797177778	5.9298585	6.359761
