brain	heart	kidney	liver	ovary	testis
ENSOANG00000000110	5.410468625	4.82622414285714	5.12070528571429	4.569869	5.819475	5.3895035
ENSOANG00000000111	0.61073225	1.3866682	0.491022324285714	0.0436845333333333	1.6782482	0.858968466666667
ENSOANG00000000112	3.389485125	4.10337642857143	3.40125814285714	3.75964366666667	4.49539383333333	4.09109433333333
ENSOANG00000000113	3.221265125	5.52784128571429	4.85445928571429	1.53605475	9.4250995	1.44774883333333
ENSOANG00000000114	0.09327547375	0.787494505714286	0.419365985714286	0.010439995	0.616321316666667	0.0836328616666667
ENSOANG00000000118	0	0.00959172714285714	0.00909581	0	0.0218564166666667	1.5417614
ENSOANG00000000123	0.0144812125	0	0	0.0529162333333333	0.184891083333333	0.0205341
ENSOANG00000000124	1.4187043375	1.63381334285714	1.566941	2.20898518333333	4.986211	1.178033
ENSOANG00000000125	1.839465	1.00203142857143	4.73787514285714	1.08532701666667	2.8762265	4.38599333333333
ENSOANG00000000126	4.678158875	3.21874557142857	3.92261742857143	2.08066916666667	5.2893415	3.83447183333333
ENSOANG00000000127	8.973602875	6.77656428571429	7.84556257142857	6.1983805	8.55150766666667	8.26869866666667
ENSOANG00000000128	0	0	0	0	0	1.82001183333333
ENSOANG00000000129	2.511646875	2.74600214285714	2.76764671428571	0.883578783333333	5.2469975	1.29299315
ENSOANG00000000130	5.2142835	4.09929742857143	4.43660857142857	4.18705733333333	5.38822816666667	4.614361
ENSOANG00000000131	2.69178025	1.75361957142857	2.56633171428571	2.35092733333333	2.9598085	3.01323616666667
ENSOANG00000000132	5.42849875	4.92758814285714	5.442222	5.678597	5.40339	5.81108483333333
ENSOANG00000000133	0	0	0	0	0	0.33213235
ENSOANG00000000134	2.952890375	3.01445828571429	3.83972357142857	1.39782186666667	4.3162595	2.33323083333333
ENSOANG00000000135	1.1865245875	1.65977798571429	2.00473942857143	1.30100408333333	3.9478025	5.017744
ENSOANG00000000137	4.811187125	3.82783714285714	2.93771371428571	1.03410945	4.32698066666667	1.33931756666667
ENSOANG00000000138	0.36216895	0.175053771428571	0.531626985714286	0.0943786	2.89105363333333	2.640958
ENSOANG00000000139	0.7087338125	0.971469914285714	1.130616	1.25148916666667	6.66178183333333	1.01238183333333
ENSOANG00000000140	1.635824375	3.11730857142857	2.68385285714286	1.97741328333333	3.96614983333333	5.6148305
ENSOANG00000000141	2.61509765	2.01887322857143	2.39966928571429	1.58874991666667	2.46465866666667	2.2728375
ENSOANG00000000142	2.1197355	1.38039998571429	2.34434828571429	1.98960796666667	2.15716516666667	2.26927316666667
ENSOANG00000000143	6.036452625	5.27404328571429	4.31434642857143	3.987725	5.535266	4.07368283333333
ENSOANG00000000144	2.256058625	2.99324371428571	2.12699657142857	1.63570205	3.86618683333333	2.313701
ENSOANG00000000145	0.8662567625	1.0679976	0.7972809	0.333335408333333	2.6013	0.630550316666667
ENSOANG00000000146	0.782741875	1.08715798571429	1.26846342857143	0.189440521666667	2.99565383333333	0.6922793
ENSOANG00000000147	1.53381745	1.31666948571429	2.37632628571429	0.721971766666667	3.87760516666667	0.867425566666667
ENSOANG00000000148	4.949534875	4.38407985714286	4.73277028571429	4.09452383333333	5.7034595	4.43719566666667
ENSOANG00000000149	0.1067563175	0.328243508571429	0.156192707142857	0.0173921983333333	1.03778358333333	0.338237558333333
ENSOANG00000000150	4.668843375	3.783201	4.75017942857143	4.29422316666667	4.14924966666667	2.95460016666667
ENSOANG00000000151	0	0.0252212428571429	0.00996876285714286	0.012496485	0.054611335	0.264634466666667
ENSOANG00000000152	0	0	0	0	0	0.25089665
ENSOANG00000000153	4.402323125	3.71690657142857	4.20464757142857	3.48902883333333	5.06440816666667	4.6243545
ENSOANG00000000154	1.3451868875	1.54010481428571	1.80374542857143	1.55557453333333	3.066553	1.5518885
ENSOANG00000000157	0.3230258625	0	0	0	0	0
ENSOANG00000000158	1.613647125	2.63704571428571	2.33159771428571	2.36836483333333	1.59648866666667	0.9925995
ENSOANG00000000159	0.870214825	1.41604001428571	1.7432212	0	0.150292683333333	2.32287083333333
ENSOANG00000000160	0.489128875	0	0.147732	0.2165115	1.93037591666667	1.05050466666667
ENSOANG00000000162	0.5725395375	0	0.0713076428571429	0	0.890112833333333	1.78392253333333
ENSOANG00000000163	1.7678788	0.788934628571429	1.07344861428571	0.226500166666667	1.57626021666667	3.27981416666667
ENSOANG00000000164	0.863337775	0.187192242857143	0.677606885714286	0	0	0.6170645
