brain	heart	kidney	liver	ovary	testis
ENSOCUG00000000001	0.0901149	0.201800993076923	9.65838872727273	4.412476	0.1062241	0.5881867
ENSOCUG00000000003	3.197759	0.385132653846154	1.75332184545455	5.28200552	0	1.83355
ENSOCUG00000000004	3.95868866666667	2.88210692307692	2.75400627272727	2.2559882	2.820794	2.738208
ENSOCUG00000000005	4.10151666666667	2.28644253846154	3.95983154545455	3.31747784	3.429841	5.04091
ENSOCUG00000000006	4.33722633333333	3.429664	5.00152072727273	3.38045908	3.372424	3.176784
ENSOCUG00000000007	3.73713033333333	3.08953323076923	2.39954118181818	1.56096012	6.10648	4.404556
ENSOCUG00000000008	0.370687833333333	0.169783851538462	0.388853409090909	0.0606953484	0.3978336	8.22252
ENSOCUG00000000009	8.24708333333333	5.74616915384615	8.21835927272727	7.24277204	8.798734	6.096019
ENSOCUG00000000010	3.60616633333333	1.41702092307692	3.61547645454545	3.8664162	2.61265	2.9155
ENSOCUG00000000012	5.40514533333333	7.09886853846154	6.59386890909091	5.82618676	6.164036	2.575242
ENSOCUG00000000013	3.05783366666667	0.614785584615385	2.21582336363636	2.90477032	3.553483	4.920736
ENSOCUG00000000014	10.293034	8.00588138461539	11.9951818181818	12.6159008	13.72374	10.34403
ENSOCUG00000000015	4.195112	4.630602	4.03585936363636	2.22870612	3.433973	3.878588
ENSOCUG00000000016	1.50231856666667	0.870451169230769	1.51526500909091	1.305944696	0.6303775	5.648129
ENSOCUG00000000017	4.16473066666667	1.93789279230769	2.008816	0.84629544	2.27139	6.244758
ENSOCUG00000000018	6.53943466666667	5.88508861538462	6.54638690909091	6.31529308	6.503614	5.602136
ENSOCUG00000000020	3.521817	1.56939384615385	3.12688509090909	2.88971404	2.328196	2.957331
ENSOCUG00000000021	6.155543	3.428821	4.40900545454545	3.48275616	4.395008	4.169677
ENSOCUG00000000022	4.306222	3.08493446153846	4.24095181818182	3.67159808	3.335576	4.784295
ENSOCUG00000000023	3.53665333333333	5.83056669230769	4.447788	4.71127676	2.149041	2.408138
ENSOCUG00000000024	3.10466466666667	1.34236066923077	2.14444163636364	1.94116596	1.827083	2.895058
ENSOCUG00000000025	0.833147333333333	0.897774223076923	3.80185454545455	3.65654056	3.383342	2.239395
ENSOCUG00000000026	0.3186637	0.00697280769230769	0.344944852727273	1.741710156	1.050265	2.808229
ENSOCUG00000000028	3.02667366666667	1.31986601538462	5.57442963636364	1.84927888	4.121262	2.548158
ENSOCUG00000000030	4.09672366666667	3.15045807692308	4.60698918181818	3.96768464	3.64617	2.605641
ENSOCUG00000000031	1.400714	0.125423033846154	0.148146309090909	0.9849669276	1.41064	5.644275
ENSOCUG00000000032	2.42965733333333	1.53888153076923	3.36101627272727	3.31095684	2.170569	1.957123
ENSOCUG00000000034	3.10122666666667	1.69286	2.72713981818182	2.85673144	2.73355	2.457618
ENSOCUG00000000036	0.391701	0.0138631161538462	0	0	0	0
ENSOCUG00000000038	3.41232033333333	1.82398630769231	3.69896481818182	2.56189544	1.45617	2.298538
ENSOCUG00000000040	4.60822133333333	3.34654684615385	3.97103563636364	3.60884488	4.349634	5.887613
ENSOCUG00000000041	0	4.98010830769231	0.0139303663636364	0.0072696944	0	0.06937001
ENSOCUG00000000044	0.073203	0.0765636730769231	0.11605141	0.087224752	0.5648835	6.207635
ENSOCUG00000000045	1.1910695	0.125255966923077	0.515976097272727	0.855725628	0.1838701	0.09128631
ENSOCUG00000000046	0.0519427333333333	0	0	0	0	0
ENSOCUG00000000049	1.57977666666667	0.183927431538462	0.289480131818182	5.46178228	2.454279	0.1464297
ENSOCUG00000000051	3.38742066666667	1.41773276923077	4.17321245454545	2.42441664	1.53747	2.229573
ENSOCUG00000000052	0	0	0	0.004567632	0	0.4193091
ENSOCUG00000000054	0.183852433333333	0.0133672438461538	0	0.016944784	1.049965	0
ENSOCUG00000000055	1.70317733333333	0.528025536153846	0.292173563636364	0.1352075804	0.8111759	8.098885
ENSOCUG00000000057	5.89859566666667	2.55322623076923	4.37172736363636	2.92332692	4.82546	5.43302
ENSOCUG00000000059	3.36877333333333	1.31742053846154	2.98648509090909	2.02115716	2.332361	1.942867
ENSOCUG00000000060	6.13200633333333	3.03302215384615	4.33608681818182	4.26508796	5.016929	7.227731
ENSOCUG00000000061	0.773701733333333	0.211692592307692	0.984225827272727	1.188393448	0.9552563	1.687598
ENSOCUG00000000063	3.71904733333333	1.97378669230769	3.03512918181818	2.86464612	3.124874	2.718138
ENSOCUG00000000064	6.501828	4.18667938461538	4.94966990909091	4.36304128	5.204696	7.81339
ENSOCUG00000000065	0	0.0181653307692308	0.328598545454545	0.374417576	0	0
ENSOCUG00000000066	3.58236233333333	0.531087484615385	1.93104790909091	1.075518628	1.232513	2.330312
ENSOCUG00000000068	1.96757433333333	0.0567933826923077	1.24505982727273	0.0049112412	0.1678987	2.152028
ENSOCUG00000000069	3.91678566666667	4.31790230769231	5.64983518181818	4.7553164	5.931825	2.992286
ENSOCUG00000000070	0.185949566666667	0.0123552423076923	0.0277317727272727	0.07671746	0	1.479386
ENSOCUG00000000071	2.57906133333333	1.10564248461538	2.09843981818182	2.07149208	1.873439	1.950084
ENSOCUG00000000072	3.269441	0.0575291115384615	0.0500594827272727	0.0133692688	0	0.1307937
ENSOCUG00000000073	5.59630233333333	3.569755	4.92068245454545	3.84423144	4.819475	5.996461
ENSOCUG00000000074	4.91898666666667	4.32327761538462	5.38602518181818	4.361747	4.746479	7.31951
ENSOCUG00000000075	7.364159	4.64930984615385	6.07691845454545	5.65248888	6.352153	7.187778
ENSOCUG00000000076	4.25397233333333	1.50122646153846	5.70387245454545	1.91166196	1.955465	1.441313
