brain	heart	kidney	liver	ovary	testis
ENSORLG00000000001	4.34505656857143	5.43675882881818	4.038682	2.75973155555556	2.5721239354	4.07416022083333
ENSORLG00000000002	5.03869568214286	3.11907322381818	3.573816	1.23461104444444	3.000181753	3.9587177025
ENSORLG00000000003	5.38263776142857	1.04142034663636	0.3021845	0.0939128555555556	0.26651496	0.696837426666667
ENSORLG00000000004	0.483759814285714	0.632946643	0.2497269	0.0424251466666667	0.0808378398	0.687847294
ENSORLG00000000005	3.61536889142857	2.70727398963636	3.482745	2.70602955555556	4.200067693	4.39615689066667
ENSORLG00000000006	3.71982335071429	2.09860399754545	2.889596	1.97376626111111	4.1171004344	3.066641636
ENSORLG00000000007	4.18612696642857	2.51828818381818	2.465768	1.03589358333333	3.9078276072	3.05242455
ENSORLG00000000008	3.54154526428571	2.999042541	3.169458	2.69660537222222	4.448887803	5.14727635783333
ENSORLG00000000009	0.738634622142857	4.17323010545455	1.04724	4.03188877777778	1.0338343186	0.8623595125
ENSORLG00000000010	3.25211469285714	3.14239891854545	3.288174	5.12610422222222	2.7378759432	4.62887627016667
ENSORLG00000000011	0.201789778571429	0.00466702690909091	0.4887248	0.0127633333333333	0.1064056466	0.907050771166667
ENSORLG00000000012	0.206327678571429	0.0857899265454545	0.1409187	1.10777770944444	2.206286278	1.269972805
ENSORLG00000000013	5.69420651785714	3.57020992845455	2.44529	2.10719049444444	3.090446571	4.3410283075
ENSORLG00000000014	7.384544855	8.71639258309091	8.36982	6.21430566666667	3.98681432	6.36068099333333
ENSORLG00000000016	0.358847657142857	0.502096847090909	0.5586595	0.15997148	0.266426046	0.504829591833333
ENSORLG00000000017	1.06844606	0.907165547363636	0.067278	0.9248518	0.1032574348	1.00884293666667
ENSORLG00000000018	0	0	0	0.0163834	0.17891726	0.562459
ENSORLG00000000019	0.458695357142857	0.511331338545455	0	0.584118683333333	0.2460910882	0.149333504666667
ENSORLG00000000020	0.0192702415704214	0.0896949975454545	0.2072944	0.176549266666667	0.6194336532	0.219030514666667
