heart	kidney	liver	testis
ENSPPAG00000000006	15.351845	14.9404790995	13.525155	12.61037
ENSPPAG00000000010	15.021705	14.3840160225	12.610875	11.89983
ENSPPAG00000000016	15.73176	15.4162305525	14.524735	12.71958
ENSPPAG00000000019	16.67304	16.681626672	15.04121	13.09046
ENSPPAG00000000021	13.944735	13.3101462065	11.320255	11.42302
ENSPPAG00000000022	16.646515	16.278091786	14.836115	13.11121
ENSPPAG00000000023	16.13789	16.1006648045	14.5093	12.87675
ENSPPAG00000000025	15.22424	14.2349736255	13.04076	11.98465
ENSPPAG00000000027	14.762055	14.539689178	12.975965	11.27544
ENSPPAG00000000028	15.96509	16.2085935335	14.130385	12.9854
ENSPPAG00000000032	12.951085	12.5112774725	11.029245	9.837204
ENSPPAG00000000033	13.02383	12.8573127035	11.11672	10.20325
ENSPPAG00000000035	14.38148	14.3530713565	12.62949	11.08932
ENSPPAG00000000038	0	0	0	0
ENSPPAG00000000039	0	0	0	0
ENSPPAG00000000040	1.37029105	1.524176299	0.3578909	2.517117
ENSPPAG00000000041	0.2814795	0.5138181015	1.5491025	1.210869
ENSPPAG00000000042	5.6738345	6.3943875505	3.732023	7.698767
ENSPPAG00000000043	0.305912	0.12002037	0.07174175	0.1403284
ENSPPAG00000000044	2.079781	3.05330934	2.7622835	2.292163
ENSPPAG00000000045	3.503469	3.5975139935	2.368083	2.751629
ENSPPAG00000000046	3.447377	3.6589199115	3.448668	3.912937
ENSPPAG00000000047	0	0	0	4.055022
ENSPPAG00000000049	0.024249095	0.1015824505	0.025785935	0.1419977
ENSPPAG00000000050	2.861997	2.8226209465	2.866673	3.217615
ENSPPAG00000000051	0.1848237	0.634259	0	4.109486
ENSPPAG00000000052	0.55060725	0.118896351	0.06175125	3.187424
ENSPPAG00000000053	0	0.339325335	0	0
ENSPPAG00000000054	2.5000905	2.6359659125	2.5101	2.817009
ENSPPAG00000000055	4.448213	5.194119938	4.133534	3.1859
ENSPPAG00000000056	1.1538737	1.4102907485	1.348172	3.784069
ENSPPAG00000000057	1.0222743	3.699649023	1.4296185	1.227242
ENSPPAG00000000058	0	0	0	4.957826
ENSPPAG00000000060	0	0	0	6.666458
ENSPPAG00000000061	0.3893096	0.1901428915	0.152602275	5.209929
ENSPPAG00000000069	0	0	0	0
ENSPPAG00000000071	0.548326415	2.3313899795	2.294251	0.9022125
ENSPPAG00000000072	0	0	0	5.24381
ENSPPAG00000000073	2.50633335	6.273201502	4.8519385	0
ENSPPAG00000000074	1.6560725	2.7780820385	1.5801365	2.966888
ENSPPAG00000000076	2.55554	3.775876635	2.2879925	4.477392
ENSPPAG00000000087	0	0.333389663	0.026682265	0.8749921
ENSPPAG00000000088	0	0	0	0
ENSPPAG00000000090	0	0	0	0
ENSPPAG00000000101	0.0699672	0.395365007	0.1099625	0.8557577
ENSPPAG00000000104	0.035892315	0.041897035	0.01263611	3.608809
ENSPPAG00000000106	0.097428745	2.069443336	0.26754135	2.985249
ENSPPAG00000000108	0.03348497	0	0	0.951076
ENSPPAG00000000110	0	0	0	1.404543
ENSPPAG00000000113	0	0.972723323	1.921011	0
ENSPPAG00000000125	0.729157	0.7082761565	0.88388075	0.6917807
ENSPPAG00000000127	5.003445	5.8212487135	5.0867535	5.129613
ENSPPAG00000000132	0	0	0	0
ENSPPAG00000000133	0	0.05338895	0	0
ENSPPAG00000000134	0	0.2653818615	0.313989	0
ENSPPAG00000000136	0	0	0	0
ENSPPAG00000000145	0	0.540445	1.783263	0
ENSPPAG00000000147	0.0737569	0.161503144	0.0803788	0.3785272
ENSPPAG00000000149	0	3.228266267	0	0
ENSPPAG00000000150	5.0423565	4.6146868775	4.684185	5.43957
ENSPPAG00000000152	0.33086035	0.720628151	0.33371165	9.413057
ENSPPAG00000000155	0.011636265	1.005742423	0.2371241	0.1247711
ENSPPAG00000000158	0.064616105	0.078603999	0.15765805	1.296957
ENSPPAG00000000159	0.0530666	0.0573119775	0	0
ENSPPAG00000000160	0.2370133	0.3561224095	0.52833105	1.553793
ENSPPAG00000000163	0.22333335	1.982401285	1.9624055	5.338888
ENSPPAG00000000168	0.22414565	1.791980438	4.9514145	0.3343612
ENSPPAG00000000177	2.507115	3.096816562	2.874102	5.968554
ENSPPAG00000000178	2.1863995	2.4820711415	1.656823	3.305183
ENSPPAG00000000179	2.3367435	2.609605271	1.7012255	2.560265
ENSPPAG00000000200	2.823919	2.660050265	3.277042	6.183671
ENSPPAG00000000202	1.0303075	2.096716355	4.0966565	5.100225
ENSPPAG00000000203	0.31235975	0.162818698	1.06905155	2.128716
ENSPPAG00000000206	0.04805467	0.050289173	0	1.657498
ENSPPAG00000000208	0	0	0	1.051483
ENSPPAG00000000209	1.1478429	0.465923118	0.1751049	1.39379
ENSPPAG00000000210	0	0.0953346	0.0935101	7.292101
ENSPPAG00000000212	1.451831	0.9268347845	0.94281585	1.002839
ENSPPAG00000000213	1.84807	2.6387321685	2.7853665	2.309118
ENSPPAG00000000217	4.461004	4.9800539225	4.762961	6.355665
ENSPPAG00000000218	1.792073	2.777421063	2.877406	7.31595
ENSPPAG00000000219	0.36269248	0	0.048168915	0.2266442
ENSPPAG00000000220	0.37618955	3.346504946	4.612417	1.859546
ENSPPAG00000000234	0	0	0.2253673	5.268558
ENSPPAG00000000237	2.6299145	3.805353982	3.8331475	3.939349
ENSPPAG00000000239	1.843359	2.506760073	2.505421	6.521936
ENSPPAG00000000240	2.6932265	4.226019842	4.294149	2.730371
ENSPPAG00000000241	2.015394	5.7164747585	8.216121	2.8049
ENSPPAG00000000242	1.8456975	3.109684127	2.0271285	6.966073
ENSPPAG00000000243	2.140597	2.091254802	0.86811235	6.890502
ENSPPAG00000000244	0.11318261	1.7242711325	8.11805	1.645732
ENSPPAG00000000248	3.5828055	3.8693787245	3.72	6.253405
ENSPPAG00000000251	3.5140535	2.7207592525	2.3886375	5.076606
ENSPPAG00000000252	0	0	0	0
ENSPPAG00000000266	0	0	0	0
ENSPPAG00000000267	0.6353225	0.6205419735	0.3742053	1.677671
ENSPPAG00000000279	0	0.2249151445	0.026908155	0.8538719
ENSPPAG00000000286	1.9667	1.5802995335	0.51874245	1.199474
ENSPPAG00000000288	0.109089005	1.0264456545	0.63392485	1.249638
ENSPPAG00000000292	0.5894496	4.675641377	5.4616495	3.329037
ENSPPAG00000000305	2.9305265	3.634867351	2.867605	2.231331
ENSPPAG00000000306	2.3423095	3.600895568	3.10498	6.519138
ENSPPAG00000000307	0.50166035	0.1621448785	0.34278455	0
ENSPPAG00000000308	1.829622	2.338014283	2.3957345	2.619714
ENSPPAG00000000313	1.9382505	2.778389394	1.7321955	2.582366
ENSPPAG00000000314	0.01895479	0.104395762	0.0636443	7.722138
ENSPPAG00000000336	0.02987733	0.150182903	0.122711535	0
ENSPPAG00000000337	0	0	0	1.195045
