brain	heart	kidney	liver	testis
ENSPTRG00000000001	5.3433455	3.9408826	5.371572	4.52602465	6.166812
ENSPTRG00000000008	0.12794125	0.61660264	0.8616154	0.067392398	5.76107
ENSPTRG00000000009	0.19025173	0.407838072	0.660975466666667	0.598237915	0.444596
ENSPTRG00000000017	1.0146256	0.100967208	0.391486822222222	0.0840500725	2.789408
ENSPTRG00000000021	2.471306	0.92775696	1.79104488888889	1.94384095	1.280083
ENSPTRG00000000024	2.861329	1.8456856	2.21341677777778	2.065773	2.592165
ENSPTRG00000000025	5.5973385	3.8820178	4.756011	4.3938483	4.679205
ENSPTRG00000000027	5.3772095	4.7660292	5.71229555555556	5.70378445	7.516323
ENSPTRG00000000028	5.7909995	4.2888456	5.98714977777778	5.7435859	5.108641
ENSPTRG00000000029	6.5470105	6.0020614	6.31696844444444	6.3648146	6.278957
ENSPTRG00000000031	1.5441335	1.28881304	2.64554233333333	2.231461405	3.555399
ENSPTRG00000000033	0.6084187	0.133558368	0.378632777777778	0.3773734205	0
ENSPTRG00000000034	7.918707	6.28558	6.81639577777778	5.9763222	6.301123
ENSPTRG00000000035	0.99244555	1.54884082	1.32940952222222	1.083383285	0.7409647
ENSPTRG00000000037	3.8698775	1.39489794	3.40899144444444	2.52396145	2.213282
ENSPTRG00000000038	4.028251	2.5592888	4.55599444444444	6.183821	5.447604
ENSPTRG00000000040	0.90528255	0.45402573	0.487129144444444	0.2242031345	1.282766
ENSPTRG00000000041	1.8051905	0.116816256	1.26329953333333	1.245691525	3.172108
ENSPTRG00000000044	5.4770795	3.2519304	5.75248011111111	5.2380265	5.620537
ENSPTRG00000000047	2.9781575	2.12033984	2.93511944444444	2.313904465	2.410241
ENSPTRG00000000048	1.1572357	0.29276644	2.94251233333333	1.052760815	5.821192
ENSPTRG00000000049	6.0681035	5.0744258	6.45775955555556	6.779657	7.512026
ENSPTRG00000000050	4.0479765	2.1129614	3.74254066666667	2.91272035	4.292279
ENSPTRG00000000051	2.1253391	0.051687606	1.02827567333333	0.5979944775	0.1896576
ENSPTRG00000000052	4.0570045	2.7791864	3.23330622222222	2.5173448	4.647148
ENSPTRG00000000053	3.772103	2.063694	3.64131144444444	4.8102503	0.8131996
ENSPTRG00000000054	4.369295	1.6107642	3.063954	2.54327725	2.708979
ENSPTRG00000000055	0.8192997	0.5420292	0.857891877777778	0.1306305395	6.955735
ENSPTRG00000000057	0.06153144	0.22202564	0.0166949111111111	0	7.658697
ENSPTRG00000000059	1.4210505	1.35346908	2.04149977777778	0.244756439	0.5572219
ENSPTRG00000000060	0.88993925	0.212806178	3.496144	2.87001015	1.067164
ENSPTRG00000000062	0.223307	0.246699012	0.161658613333333	0.1829625045	2.244118
ENSPTRG00000000063	6.662307	4.0714268	5.27789766666667	5.47085445	3.909293
ENSPTRG00000000064	4.0488355	1.7847946	3.12656222222222	2.435057	3.900703
