brain	heart	kidney	liver
ENSPANG00000000040	7.111697	5.78735471428571	5.372865	5.38986328571429
ENSPANG00000000041	4.961674	6.5667115	6.199463	6.02954142857143
ENSPANG00000000052	0	1.13727438571429	1.930771	0.820551345714286
ENSPANG00000000053	4.282729	0.443870157142857	1.514279	0.189000828571429
ENSPANG00000000059	6.477808	3.79481107142857	5.719038	3.95888971428571
ENSPANG00000000060	6.256597	4.34920071428571	5.854165	3.44271721428571
ENSPANG00000000062	0	0.6248715	6.294163	0.937762785714286
ENSPANG00000000063	0	0.535437278571429	1.11915	0.296097074285714
ENSPANG00000000071	0	7.61870228571429	4.170484	4.40209828571429
ENSPANG00000000072	4.536177	1.75443035714286	4.181276	2.71292657142857
ENSPANG00000000084	0	0	0	0
ENSPANG00000000085	7.078951	5.93276164285714	5.668925	5.15206507142857
ENSPANG00000000090	0	1.04954317142857	2.106744	0.546367835714286
ENSPANG00000000093	0	2.45185585714286	0.05569877	0
ENSPANG00000000094	0	0.0384324171428571	0.04398668	0.115792235714286
ENSPANG00000000098	0	0	0	0
ENSPANG00000000102	4.495554	2.61557728571429	4.760896	1.7450387
ENSPANG00000000103	5.149225	3.51405757142857	4.565014	3.21978207142857
ENSPANG00000000107	0	0	0	0.0696986071428571
ENSPANG00000000111	7.984749	0	0.503077	0
ENSPANG00000000112	0	0.773845607142857	0.4056428	0.02327445
ENSPANG00000000116	0	0.187766787857143	0.4638264	0.295510089285714
ENSPANG00000000117	0	0.20344335	2.616332	1.81106325
ENSPANG00000000122	4.316146	2.08686225714286	3.48971	0.648849657142857
ENSPANG00000000123	0	0.216147321428571	0.4344302	0.418860692857143
ENSPANG00000000126	3.561778	3.080698	4.532369	2.28895985714286
ENSPANG00000000127	0	12.4086957142857	7.494349	2.43836926428571
ENSPANG00000000131	8.859374	8.67525221428571	9.692581	8.59829335714286
ENSPANG00000000132	5.457243	0.327626314285714	2.083418	1.41864537214286
ENSPANG00000000141	0	4.21981814285714	4.667273	4.87623342857143
ENSPANG00000000142	0	4.55986814285714	4.198423	4.16820521428571
ENSPANG00000000147	8.527794	8.25893678571429	7.987254	7.70557621428571
ENSPANG00000000148	6.0354	0.00908526428571428	0	0.116962
ENSPANG00000000165	0	0	0	0.469893
ENSPANG00000000166	0	0	0	0.343883214285714
ENSPANG00000000171	0	0.372308671428571	1.058704	0.387728221428571
ENSPANG00000000174	0	0.0868027928571429	0.1052397	0.168212908571429
ENSPANG00000000175	1.870676	4.61311007142857	0.1252969	0.0147027657142857
ENSPANG00000000180	0	0	1.100056	0
ENSPANG00000000181	5.013779	1.71385996428571	4.129497	1.38479252142857
ENSPANG00000000187	0	0.01880105	0	0.0183872121428571
ENSPANG00000000188	0	0.010935405	0.05011841	0.318272222857143
ENSPANG00000000194	5.947767	0.976731157142857	1.971887	2.63157207142857
ENSPANG00000000195	6.733517	7.703073	4.917284	6.05002714285714
ENSPANG00000000200	6.111509	5.51614328571429	6.08523	5.14034121428571
ENSPANG00000000205	5.362757	2.83128114285714	4.377704	3.23629135714286
ENSPANG00000000206	0	0	0	7.02203557142857
ENSPANG00000000209	3.195033	0.0738441785714286	0.2929537	0.109637477857143
ENSPANG00000000210	1.898487	2.51310221428571	3.576384	1.94503947142857
ENSPANG00000000216	0	0	0	0
ENSPANG00000000217	7.579761	8.32592757142857	8.526091	8.28084128571429
ENSPANG00000000222	0	0.0140364357142857	0	0.0335214785714286
ENSPANG00000000228	0	0.320637407142857	0.1037489	0.151288481428571
ENSPANG00000000229	0	0	0	0
ENSPANG00000000238	0	0.945408985714286	1.785061	0.981630785714286
ENSPANG00000000239	0	0.0444221428571429	0.5690621	1.49702353428571
ENSPANG00000000242	6.010341	5.57153792857143	6.52933	5.08177385714286
ENSPANG00000000243	3.217812	0.100970401428571	2.202214	2.17792037142857
ENSPANG00000000246	0	2.70042135714286	5.916708	4.51181635714286
ENSPANG00000000247	7.173735	3.95433585714286	5.642552	3.34920478571429
ENSPANG00000000252	0	0	0	0.0147438
ENSPANG00000000253	0	0.03477175	0	0.135739342857143
ENSPANG00000000257	0	0.570375842857143	0.6728299	0.302332316428571
ENSPANG00000000258	2.200087	1.13431763	3.643556	0.970143992857143
ENSPANG00000000263	5.118127	1.44257172142857	0.4281671	0.526965162142857
ENSPANG00000000264	0	1.7821704	0.9498158	0.540394300714286
ENSPANG00000000267	4.535157	2.37112171428571	8.421157	4.65551664285714
ENSPANG00000000268	3.520045	0.3316663	0.0752555	0.242029214285714
ENSPANG00000000270	0	4.85680221428571	4.955801	2.77930092857143
ENSPANG00000000271	0	0.676829657142857	2.469019	0.545248828571429
ENSPANG00000000274	0	0.558309935714286	3.679735	0.604440392857143
ENSPANG00000000275	4.437907	1.57325945714286	3.955349	1.03165401357143
ENSPANG00000000276	0	0	0	0.0688116857142857
ENSPANG00000000277	0	2.8328927980375	0	1.83597520397344
ENSPANG00000000279	1.700746	0.705408892857143	1.899659	0.633628371428571
ENSPANG00000000280	6.016028	0.119151135714286	0.5515869	0.772283428571429
ENSPANG00000000281	4.611255	2.53151027857143	4.320113	1.7792344
