brain	kidney	liver	testis
ENSPMAG00000000001	13.0097871885455	11.5021933333333	11.73206896	12.25964
ENSPMAG00000000002	3.43478820636364	5.883612	3.4780104	3.94424
ENSPMAG00000000003	2.71727787418182	2.22962	1.73124912	2.643771
ENSPMAG00000000004	5.21152759872727	1.717956	1.4560356	9.641732
ENSPMAG00000000005	5.55542569172727	5.84477633333333	3.0896252	6.106164
ENSPMAG00000000006	1.26969756054545	3.077242	1.791147	2.866564
ENSPMAG00000000007	3.34271242009091	4.19189233333333	2.8852759	1.89552
ENSPMAG00000000008	6.40644686036364	7.679003	5.174892	6.55301
ENSPMAG00000000009	3.36001053763636	3.669448	2.8130449	5.865216
ENSPMAG00000000010	1.98118223636364	4.569437	3.4081072	3.306579
ENSPMAG00000000011	3.52854724354545	6.31267766666667	5.0665392	4.459615
ENSPMAG00000000012	4.85390770345455	7.79227033333333	7.5649058	6.002266
ENSPMAG00000000013	4.22803949963636	6.283796	6.7836459	4.442001
ENSPMAG00000000014	0.532564969090909	2.06895133333333	0.30600924	0
ENSPMAG00000000015	0.651553362090909	2.559352	0	2.059438
ENSPMAG00000000016	1.72288495490909	1.30615466666667	1.2905212	1.01993
ENSPMAG00000000017	4.96492173336364	5.497309	4.2684186	5.159565
ENSPMAG00000000018	3.38988150181818	4.58154066666667	2.9467356	1.061838
ENSPMAG00000000019	3.46461095054545	0.798983666666667	1.702157	1.517628
ENSPMAG00000000020	1.95306990390909	3.55102333333333	2.0535872	3.100236
ENSPMAG00000000021	4.58133247472727	4.152124	3.1437316	4.897313
ENSPMAG00000000022	7.79488750390909	7.47798566666667	7.23441016	6.185458
ENSPMAG00000000023	1.57024827481818	1.1908366	0.58296994	2.769139
ENSPMAG00000000024	3.37163009790909	1.80837033333333	3.7205656	3.137261
ENSPMAG00000000025	2.02178242272727	2.736272	1.7585206	1.219766
ENSPMAG00000000026	0.899548497090909	0.511256	0	0
ENSPMAG00000000027	8.06148358272727	5.54246066666667	5.0214314	4.458421
ENSPMAG00000000028	1.42897581827273	3.01634	1.1728824	0.8785323
ENSPMAG00000000029	5.02118421209091	5.49195266666667	5.52912984	6.970704
ENSPMAG00000000030	2.63184265945455	3.697486	2.9865428	8.442981
ENSPMAG00000000031	6.98636907281818	7.226651	5.55307492	6.422401
ENSPMAG00000000032	4.099800461	5.79479333333333	3.8385678	4.542419
ENSPMAG00000000033	9.26683538063636	9.383515	8.3044638	8.035651
ENSPMAG00000000034	3.34278216218182	4.247962	5.28175624	4.134812
ENSPMAG00000000035	3.20740884381818	0.509284733333333	1.08496068	1.415845
ENSPMAG00000000036	6.05958942081818	5.88555966666667	4.3052452	5.292793
ENSPMAG00000000037	5.16133366645455	4.624415	4.19409064	3.947068
ENSPMAG00000000038	7.47426215654545	7.296167	5.14235188	6.898184
ENSPMAG00000000039	0.887659901272727	2.54037623333333	1.5958774	1.562128
ENSPMAG00000000040	0.288228349090909	2.57581323333333	2.733373	0.4003237
ENSPMAG00000000041	6.22554813872727	4.09082466666667	2.2976386	3.06264
ENSPMAG00000000042	5.63571106290909	8.736471	6.39947628	7.823928
ENSPMAG00000000043	4.714206962	5.025517	2.9950784	1.873002
ENSPMAG00000000044	2.072159818	2.71832166666667	2.2276196	2.475365
ENSPMAG00000000045	6.72935085227273	8.09961033333333	6.7062412	7.54167
ENSPMAG00000000046	4.971267171	3.203078	5.14704818	3.022584
ENSPMAG00000000047	0.613752884454545	0.351268666666667	0.13459964	1.485648
ENSPMAG00000000048	9.37167964645455	0.480129666666667	0.5107222	4.276355
ENSPMAG00000000049	2.80805206372727	0.240779466666667	0.19478072	0.6637791
ENSPMAG00000000050	1.29949161136364	1.0610616	0	0
ENSPMAG00000000051	6.51793162027273	4.84788233333333	4.0164064	5.337444
ENSPMAG00000000052	5.008781216	3.96854966666667	3.57099732	3.402887
ENSPMAG00000000053	5.58707178654545	5.87239333333333	5.7987204	2.484984
ENSPMAG00000000054	4.36995329663636	4.84749533333333	4.2169628	5.446531
ENSPMAG00000000055	6.63889039690909	3.699065	0	0
ENSPMAG00000000056	7.22057899263636	8.303524	7.66105938	4.01035
ENSPMAG00000000057	1.86390663236364	0.341777633333333	0.10658686	0.4553601
ENSPMAG00000000058	2.67855207118182	3.489643	4.080384	3.23459
ENSPMAG00000000059	0.804780616727273	0.3863958	0.17348916	6.123348
ENSPMAG00000000060	1.87900503163636	3.19698033333333	1.859503	3.271412
ENSPMAG00000000061	0.801210298818182	3.08707033333333	1.07286226	2.136474
ENSPMAG00000000062	6.80004066536364	4.39217866666667	2.1462466	5.398504
ENSPMAG00000000063	0.516239026545455	1.97791933333333	1.0607314	0
ENSPMAG00000000064	3.89551501545455	0	0	1.470813
ENSPMAG00000000065	4.60186065954545	2.97634633333333	1.5847732	4.579126
ENSPMAG00000000066	0.947634849636364	3.06075433333333	2.3612048	1.798523
ENSPMAG00000000067	3.95699788563636	1.07138466666667	0	0.7380752
ENSPMAG00000000068	4.14022019318182	4.36548066666667	2.7130274	4.766426
ENSPMAG00000000069	0.874121112727273	0	0	0
ENSPMAG00000000070	0.526251941	0.210747533333333	0.50620374	1.14599
ENSPMAG00000000071	2.90019662090909	0.1608985	0	0.6188382
ENSPMAG00000000072	4.37526307990909	5.59908066666667	3.462167	4.017485
ENSPMAG00000000073	5.387208799	0.803106366666667	0.16697734	1.072353
ENSPMAG00000000074	2.11802756336364	1.78157133333333	1.07651472	2.368025
ENSPMAG00000000075	5.24563283418182	6.238748	6.6275166	5.116822
ENSPMAG00000000076	0.32379775	2.584733	0	0
ENSPMAG00000000077	7.88696620563636	5.19343233333333	3.1380764	7.010299
ENSPMAG00000000078	2.44353601018182	4.668997	1.19968998	0.6698205
ENSPMAG00000000079	1.79165631527273	1.62871003333333	0	10.21098
ENSPMAG00000000080	4.17473622836364	3.43120766666667	1.3240532	1.587447
ENSPMAG00000000081	1.84350657627273	2.50753443333333	1.7545902	3.079936
ENSPMAG00000000082	6.03221413118182	5.70078433333333	3.3452874	2.594305
ENSPMAG00000000083	5.23940932309091	4.44145033333333	2.88546002	8.993901
ENSPMAG00000000084	4.91627244636364	5.02505533333333	3.46516876	5.033643
ENSPMAG00000000085	6.924849858	5.36773066666667	3.9424738	5.779055
ENSPMAG00000000086	3.51777456109091	1.21510843333333	1.202708	4.450697
ENSPMAG00000000087	1.91424873618182	4.59888433333333	3.8680982	3.258441
ENSPMAG00000000088	3.71157339318182	1.914565	1.6104687	2.004451
ENSPMAG00000000089	4.66205863372727	4.863245	1.4767396	3.696439
ENSPMAG00000000090	2.38844120463636	2.3964467	0.47392438	3.985928
ENSPMAG00000000091	2.28528676054545	2.37975866666667	1.09716898	6.231778
