brain	heart	kidney	liver	ovary	testis
ENSRNOG00000000001	1.14285244102564	1.11779942297297	0.635198548205128	0.18665184625	0.859116525	0.460584163
ENSRNOG00000000007	7.62617958974359	0.796807218378378	0.255943665128205	0.390645623	2.53665119	1.643314395
ENSRNOG00000000008	1.20309274871795	0.361248429189189	0.316813108717949	0.07605959	0.3866194025	0.3416367425
ENSRNOG00000000009	0.132169248461538	0.0357041245945946	0.0346030307692308	0.0490473075	0	3.18728628
ENSRNOG00000000010	6.00867069230769	0.126940805405405	0.0442099397435897	0.101300426	3.27387725	0.77895739
ENSRNOG00000000012	1.57293229487179	3.786685	1.07793773333333	0.227752066	1.1109121	1.075021225
ENSRNOG00000000017	1.28976775897436	0.13446968	3.75444146153846	0.3580349925	2.57476725	2.13125588
ENSRNOG00000000021	4.44476053846154	3.54589075675676	4.17538958974359	2.4309396	3.93740275	4.5114611
ENSRNOG00000000024	4.07599548717949	2.82466797297297	2.87724164102564	5.648947925	4.07129725	1.91707709
ENSRNOG00000000033	6.390772	3.66524502702703	1.89286850769231	1.5749220575	2.32906975	1.559020005
ENSRNOG00000000034	2.09468897435897	1.8528125	6.30074384615385	2.975681825	3.50230875	3.61169275
ENSRNOG00000000035	0.241529771794872	0.02909615	0.15580518974359	1.1187367175	0.860365325	0.89050856
ENSRNOG00000000036	3.1771558974359	0.491001813513514	3.72912269230769	1.19692969	7.01311	2.11616367
ENSRNOG00000000040	2.95644646153846	2.92752427027027	4.57959264102564	0.6669611275	3.01571975	2.32421212
ENSRNOG00000000041	2.80776338461538	2.3513587027027	5.95303225641026	6.1480968	1.657389	2.00684137
ENSRNOG00000000042	5.80045358974359	4.11908786486486	5.59172651282051	3.3663264	3.6461055	5.22376785
ENSRNOG00000000043	4.60480407692308	4.35847735135135	5.04806923076923	3.72376865	6.51540775	3.99888255
ENSRNOG00000000044	5.28184276923077	4.06379013513514	4.39097102564103	2.9074487	4.6081265	6.20233035
ENSRNOG00000000047	5.00272464102564	3.8017022972973	6.6918998974359	5.43669335	5.997968	4.50004475
ENSRNOG00000000048	5.79041771794872	4.1890732972973	5.75371225641026	4.78659225	5.5195315	5.23342405
ENSRNOG00000000053	3.53842579487179	2.50954551351351	2.758089	11.9198602	3.57005875	2.761840285
ENSRNOG00000000054	7.3250151025641	3.07655448648649	3.8086657948718	1.5598674125	4.59356125	6.64199975
ENSRNOG00000000055	0.101425517948718	0.509283583783784	0.0907346769230769	0.14746593	0.29260999	0.406663255
ENSRNOG00000000060	8.40100476923077	0.812183610810811	0.463063828974359	0.35822863375	0.814176825	1.186627465
ENSRNOG00000000062	5.14029323076923	3.86118275675676	4.42766723076923	2.9241723	4.4558245	3.6368131
ENSRNOG00000000064	10.225127974359	11.7358572972973	10.6511595641026	9.57672075	9.21175925	9.00684205
