brain	heart	kidney	liver	ovary
ENSSBOG00000000006	13.513110717	14.67991	13.55573	13.092086502	12.07973477
ENSSBOG00000000010	13.645016642	15.1807	14.11637	13.57614182	12.64135184
ENSSBOG00000000016	15.070875646	16.82882	15.71869	14.994088211	13.80889381
ENSSBOG00000000019	13.993283395	15.45121	14.43666	13.860970555	12.79448897
ENSSBOG00000000021	8.286608584	9.158415	8.203593	7.973152038	6.65693106
ENSSBOG00000000022	14.246013131	15.34441	14.71041	14.117456422	12.86306538
ENSSBOG00000000023	14.449761248	15.7335	14.7492	14.415669156	13.54986888
ENSSBOG00000000025	14.093524855	14.46402	13.95094	12.994593866	12.11518999
ENSSBOG00000000027	13.212526783	14.352	13.45661	12.741641835	11.98704724
ENSSBOG00000000028	13.715951269	15.36256	14.27979	13.802647623	12.47491256
ENSSBOG00000000032	12.08609309	12.87228	11.97327	11.354464282	10.49438561
ENSSBOG00000000033	13.125926782	13.80559	13.31697	12.15277601	10.91758093
ENSSBOG00000000035	13.943705264	15.67237	14.48319	13.880702742	12.65979972
ENSSBOG00000000038	7.39695578	1.959729	0.4564918	1.535664813	3.36808245
ENSSBOG00000000039	2.704130512	0	1.217795	0	1.17760531
ENSSBOG00000000040	3.663936606	2.951614	3.088018	2.848197267	3.831553
ENSSBOG00000000041	3.235935332	0.5622468	5.6728	0.886766292	5.83572453
ENSSBOG00000000042	0.516324839	0.4098493	0.8846268	0.06856846	0.41746747
ENSSBOG00000000043	7.927072735	9.351222	7.488836	7.626358822	7.19011109
ENSSBOG00000000044	0	0	0.06127049	0	0
ENSSBOG00000000045	2.530422881	0.02650221	0.2911426	0.060695448	0.65114402
ENSSBOG00000000046	0.081594736	5.327921	0.1242089	0.345358902	0.66517808
ENSSBOG00000000047	5.703968338	2.104091	4.351636	3.152963464	5.43205911
ENSSBOG00000000048	7.416401497	4.864444	6.556901	5.559947555	5.85602457
ENSSBOG00000000049	0	0	0	0	0
ENSSBOG00000000050	0	0	0.3861653	0	0.48807586
ENSSBOG00000000052	3.349161429	0.4735622	1.596875	0.216855877	3.35818946
ENSSBOG00000000053	0	0	0.147097	0	0.1395913
ENSSBOG00000000054	2.145540515	0.156262	1.512283	0.09690033	1.86859985
ENSSBOG00000000055	4.767489546	0.2936506	2.907058	1.562002047	2.3379879
ENSSBOG00000000056	1.471301935	0	0	0	0.2392526
ENSSBOG00000000059	0	3.693781	8.93852	0	2.25735767
ENSSBOG00000000062	1.562423526	0.8937792	1.50919	1.340565117	6.32848285
ENSSBOG00000000063	1.650236087	0.547666	3.772962	3.486958877	3.72574116
ENSSBOG00000000066	0	0	1.910859	0	0
ENSSBOG00000000069	3.446867591	2.63106	3.334505	2.58170073	3.44242868
ENSSBOG00000000077	5.304452632	6.028271	4.710944	4.773315947	4.59112885
ENSSBOG00000000078	0	0	0	0	0
ENSSBOG00000000079	5.33609304	3.966874	4.332772	3.657368017	5.14283369
ENSSBOG00000000080	5.775996045	3.599289	5.093687	3.592361353	5.54946587
ENSSBOG00000000088	3.888661433	3.471995	3.659648	2.608835258	3.69398087
ENSSBOG00000000089	1.327060719	7.328278	0.2999121	0.214556306	0.64359339
ENSSBOG00000000091	0	0	1.120763	0	0.96752795
ENSSBOG00000000094	6.77375902	0	0.2243972	0	0.20719819
ENSSBOG00000000095	1.024631733	0.5467508	0.8444274	0	1.46541033
ENSSBOG00000000110	9.51213798	7.481065	6.957396	4.835219224	6.53129256
ENSSBOG00000000120	0	0	0	0	0
ENSSBOG00000000121	2.007613177	0.7333517	2.105555	1.159203289	2.80187734
ENSSBOG00000000123	6.185075621	5.035492	4.868924	5.314112805	4.80299449
ENSSBOG00000000134	3.525279622	1.489877	1.744135	0.538057351	4.2524308
ENSSBOG00000000143	0.806684531	2.086342	1.149285	3.762270247	0.8389308
ENSSBOG00000000154	0	0	0	0	0
ENSSBOG00000000155	6.321261362	0.3955184	0.6814457	0.237820664	4.09897187
ENSSBOG00000000156	4.577782887	1.809459	3.547432	1.742850131	3.32997318
ENSSBOG00000000158	5.465347637	4.172752	4.080845	3.196761251	3.53761912
ENSSBOG00000000176	4.57347978	2.937152	4.033948	2.554249686	4.66112296
ENSSBOG00000000186	2.733625498	1.270876	2.04742	7.004602512	2.45632254
ENSSBOG00000000188	2.398856538	0.1112461	0.9206279	2.416050637	0.56776933
ENSSBOG00000000199	2.979414448	1.263701	2.811019	1.119183508	3.31227308
ENSSBOG00000000219	4.138208305	2.31078	3.883643	3.178706675	3.786565
ENSSBOG00000000225	3.349239291	2.278806	5.760998	7.727253394	4.31693495
ENSSBOG00000000227	6.097741071	6.703843	6.78562	6.687008463	6.03483076
ENSSBOG00000000247	0.247870412	0	5.576885	6.469159889	0.25350042
ENSSBOG00000000265	1.345629141	2.454647	3.009241	0.949694788	1.63979709
ENSSBOG00000000269	4.961767868	2.176896	4.03521	2.441526239	4.9482306
ENSSBOG00000000272	0.146073857	0.1353401	0.8563914	0.528546315	1.05322953
ENSSBOG00000000277	4.554936898	4.513651	6.682294	3.416124701	4.47030343
ENSSBOG00000000280	3.25376604	1.257803	3.276632	1.704181873	4.37933068
ENSSBOG00000000291	1.886850556	1.61138	5.248903	4.19124679	1.95306777
ENSSBOG00000000302	3.207927201	2.938216	2.498546	0.053458654	0.75690373
ENSSBOG00000000313	4.017271658	2.556947	3.727986	2.193002101	3.49260951
ENSSBOG00000000324	1.017013258	0	0	0	5.47599614
ENSSBOG00000000325	1.568175151	1.554565	2.212214	0	1.00055533
ENSSBOG00000000332	3.672572433	2.758964	3.325955	1.416989407	3.20340948
ENSSBOG00000000350	3.471655707	1.954569	2.378001	1.496733325	2.44655268
ENSSBOG00000000359	4.578853598	3.976729	4.913987	3.843211052	5.44572041
ENSSBOG00000000370	3.570135009	1.154016	1.557305	0.518958066	2.80727866
ENSSBOG00000000383	0	0	5.981633	0	7.2736744
ENSSBOG00000000399	2.75140159	0	0.09841336	0	0.27469821
ENSSBOG00000000400	2.308144449	1.811296	2.711977	1.680306351	3.60239393
ENSSBOG00000000401	2.120789859	0	0.9035019	1.286680103	0
