brain	heart	kidney	liver	ovary	testis
ENSSSCG00000000002	0.50489975	2.391085744	1.04637429090909	0.734434233296296	2.49680444489796	2.14476056486486
ENSSSCG00000000003	2.4076123	2.18163188	3.92567490909091	4.30006999204762	3.33830863265306	2.40525608108108
ENSSSCG00000000005	4.0375302	3.37738544	3.86037854545455	3.24493773589418	4.43989748979592	3.5072662972973
ENSSSCG00000000006	2.01038076	2.7055535	5.41499063636364	4.11259741238095	2.5943522244898	1.97029463513514
ENSSSCG00000000007	3.7607541	2.97375156	3.70121627272727	3.79784519575132	3.83268155102041	2.94915648648649
ENSSSCG00000000010	3.0567293	5.66259104	5.14431029090909	5.56210722842328	7.57590380736735	3.29666155656757
ENSSSCG00000000014	3.4821577	4.24876256	3.15440490909091	2.32017297726455	4.15620784022449	4.38483454054054
ENSSSCG00000000018	5.8744783	4.0125576	4.08817636363636	2.80701030474603	5.87679863265306	6.51607197297297
ENSSSCG00000000019	4.5788216	3.626795	5.03945472727273	4.27205401928571	4.86652050381633	7.22627308108108
ENSSSCG00000000020	2.22408543	0.5150865412	0.795358165454545	0.266502791301587	0.661891116326531	1.5238971972973
ENSSSCG00000000021	1.02649561	1.0515361392	3.19686	2.56877169873545	1.63063413673469	2.08753921891892
ENSSSCG00000000022	4.703396	2.901114816	3.91378327272727	1.56741131886772	5.122171	3.43564040540541
ENSSSCG00000000024	4.1454971	5.75380348	1.53041573636364	2.84501293233333	4.50904671428571	1.61603914054054
ENSSSCG00000000025	2.3874005	2.07685226	2.04411954545455	2.07095791264021	2.02847302653061	2.07527066486486
ENSSSCG00000000026	6.5148879	0.0009853092	0.00355586290909091	0.0126905315396825	0.331843873673469	2.91784308108108
ENSSSCG00000000028	1.73121446	0.1341518148	1.18327929090909	0.0758682615873016	0.788630583877551	4.95058067567568
ENSSSCG00000000029	1.96058738	0.3550057868	3.49063825454545	0.102510344407407	2.819227685	1.72411722162162
ENSSSCG00000000031	4.1182766	2.36605252	3.74484936363636	3.07174006602116	3.64734153061224	3.68403008108108
ENSSSCG00000000033	2.696271	6.34697724	5.06578590909091	2.93151859685185	5.62736204081633	2.99938445945946
ENSSSCG00000000034	6.2362809	4.54330948	5.73529290909091	4.96096964408466	6.40312714285714	3.30194302702703
ENSSSCG00000000035	6.1344991	3.78741308	3.941596	1.97152899488889	5.05735065306122	5.83260208108108
ENSSSCG00000000036	4.5647075	4.95598292	6.08142718181818	3.56279211810053	5.60587148979592	4.67171394594595
ENSSSCG00000000037	3.8048547	4.23678892	5.91462481818182	5.89541796119577	5.90660187755102	6.01469643243243
