brain	testis
ENSTGUG00000000001	1.92185642222222	0.900693733333333
ENSTGUG00000000002	6.02921711111111	5.46455333333333
ENSTGUG00000000003	6.07869466666667	3.71304833333333
ENSTGUG00000000004	2.44047177777778	2.49088066666667
ENSTGUG00000000005	0	0.542675666666667
ENSTGUG00000000006	3.61456177777778	3.25137033333333
ENSTGUG00000000007	2.72348	3.14754933333333
ENSTGUG00000000008	1.71527551111111	1.817628
ENSTGUG00000000010	5.69565766666667	7.58499866666667
ENSTGUG00000000011	4.31205511111111	4.729913
ENSTGUG00000000012	0.327852892222222	2.06869066666667
ENSTGUG00000000013	3.67251422222222	5.720899
ENSTGUG00000000014	5.73731855555556	5.43880833333333
ENSTGUG00000000015	0.0318664111111111	4.20577466666667
ENSTGUG00000000016	4.75735966666667	5.249227
ENSTGUG00000000017	0.489660385555556	1.07068686666667
ENSTGUG00000000018	5.91441033333333	5.91013866666667
ENSTGUG00000000019	0.306234222222222	0.136054733333333
ENSTGUG00000000020	0.977813433333333	0.8179939
ENSTGUG00000000021	10.1377245555556	8.74728766666667
ENSTGUG00000000022	2.00719332222222	2.146507
ENSTGUG00000000023	4.56708666666667	6.233981
ENSTGUG00000000024	0.135269033333333	3.36797366666667
ENSTGUG00000000025	4.84629755555556	5.78871366666667
ENSTGUG00000000026	0.351700333333333	2.24401
ENSTGUG00000000027	4.83524611111111	4.81301433333333
ENSTGUG00000000028	0.766069988888889	2.32603466666667
ENSTGUG00000000029	7.38459366666667	7.079971
ENSTGUG00000000030	1.93551411111111	1.80884466666667
ENSTGUG00000000031	2.26460933333333	3.18335966666667
ENSTGUG00000000032	3.93296866666667	2.13071166666667
ENSTGUG00000000033	3.23469177777778	0.8486845
ENSTGUG00000000034	1.67728922222222	0.122943066666667
ENSTGUG00000000035	3.32019188888889	4.95431366666667
ENSTGUG00000000036	5.32064955555556	5.64027333333333
ENSTGUG00000000037	4.57558666666667	4.97975866666667
ENSTGUG00000000038	5.35200622222222	6.21129766666667
ENSTGUG00000000039	6.162138	6.201928
ENSTGUG00000000040	1.79428747777778	2.02024666666667
ENSTGUG00000000041	3.16420133333333	2.59764833333333
ENSTGUG00000000042	5.68141466666667	6.583139
ENSTGUG00000000043	8.01501144444444	7.596894
ENSTGUG00000000044	9.74105522222222	9.68595333333333
ENSTGUG00000000045	0	0
ENSTGUG00000000046	6.82469633333333	7.59802266666667
ENSTGUG00000000047	5.63231333333333	9.36842266666667
ENSTGUG00000000048	6.25217666666667	7.20830533333333
ENSTGUG00000000049	8.871512	10.0030023333333
ENSTGUG00000000050	4.03310755555556	2.66306533333333
ENSTGUG00000000051	0.418823122222222	0.994070466666667
ENSTGUG00000000052	0	1.714969
ENSTGUG00000000053	0.432919066666667	1.10815963333333
ENSTGUG00000000054	0.282646244444444	1.29250156666667
ENSTGUG00000000055	7.29761322222222	3.87908266666667
ENSTGUG00000000056	7.005546	6.735279
ENSTGUG00000000057	1.66958888888889	1.633086
ENSTGUG00000000058	4.95543244444444	5.252841
ENSTGUG00000000059	5.65162577777778	7.13206133333333
ENSTGUG00000000060	4.12788333333333	1.92636133333333
ENSTGUG00000000061	2.90579355555556	3.682053
ENSTGUG00000000062	0.6780499	0.278815833333333
ENSTGUG00000000063	3.896399	3.4874
ENSTGUG00000000064	2.061262	2.989135
ENSTGUG00000000065	0.983440122222222	0.494889166666667
ENSTGUG00000000066	6.437157	5.514489
ENSTGUG00000000067	6.33989633333333	5.32187566666667
ENSTGUG00000000068	0.785373166666667	1.62727133333333
ENSTGUG00000000069	7.95122466666667	3.455293
ENSTGUG00000000070	5.05686466666667	4.59713466666667
ENSTGUG00000000071	0.958391744444445	8.37145733333333
ENSTGUG00000000072	2.90707922222222	5.18753533333333
ENSTGUG00000000073	4.66393744444444	2.835494
ENSTGUG00000000074	0.695991550519333	2.24648166666667
ENSTGUG00000000075	0	3.972161
ENSTGUG00000000076	9.03365522222222	8.529831
ENSTGUG00000000077	0.595974322222222	4.20182366666667
ENSTGUG00000000078	0.962827144444444	1.65430533333333
ENSTGUG00000000079	5.751533	6.054926
ENSTGUG00000000080	5.54186744444444	8.94179333333333
ENSTGUG00000000081	2.97464777777778	3.74579066666667
ENSTGUG00000000082	3.77973111111111	4.72690033333333
ENSTGUG00000000083	5.655658	5.40854133333333
ENSTGUG00000000084	8.41819455555556	6.83078933333333
ENSTGUG00000000085	3.10510677777778	4.43442233333333
ENSTGUG00000000086	3.55619577777778	2.890172
ENSTGUG00000000087	0.106406683333333	0.899282433333333
ENSTGUG00000000088	4.12030255555556	3.24619733333333
ENSTGUG00000000089	4.45118311111111	3.549745
ENSTGUG00000000090	3.05162222222222	3.06483466666667
ENSTGUG00000000091	1.2331374	1.29788893333333
ENSTGUG00000000092	5.28010711111111	5.81494366666667
ENSTGUG00000000093	6.16974333333333	3.62848833333333
ENSTGUG00000000094	1.72625466666667	5.29380066666667
ENSTGUG00000000095	9.20424422222222	9.976098
ENSTGUG00000000096	1.77931736666667	3.27454766666667
ENSTGUG00000000097	3.150299	6.06541466666667
ENSTGUG00000000098	4.86037511111111	6.363301
ENSTGUG00000000099	4.26662777777778	7.145692
ENSTGUG00000000100	0.249978821111111	0.891892033333333
ENSTGUG00000000101	2.23261077777778	1.70370466666667
ENSTGUG00000000102	6.567112	8.548298
ENSTGUG00000000103	1.49406622222222	1.65198933333333
ENSTGUG00000000104	1.01739611111111	5.380562
ENSTGUG00000000105	3.704914	1.362102
ENSTGUG00000000106	8.27917877777778	4.18919066666667
ENSTGUG00000000107	1.56829733333333	0.239486623333333
ENSTGUG00000000108	5.876406	0.840131233333333
ENSTGUG00000000109	6.43022722222222	6.80927
ENSTGUG00000000110	8.24993288888889	8.40712966666667
ENSTGUG00000000111	8.76353866666667	7.23030666666667
ENSTGUG00000000112	6.26956066666667	5.46740066666667
ENSTGUG00000000113	5.09190266666667	4.38273866666667
ENSTGUG00000000114	8.22058155555555	6.68191933333333
ENSTGUG00000000115	5.378025	1.82705366666667
ENSTGUG00000000116	3.79389966666667	1.21406486666667
ENSTGUG00000000117	4.54976766666667	6.17167066666667
ENSTGUG00000000118	4.73333722222222	5.99726466666667
ENSTGUG00000000119	5.51199177777778	5.61613533333333
ENSTGUG00000000120	2.490127	1.77018466666667
ENSTGUG00000000121	6.63658777777778	8.16557366666667
ENSTGUG00000000122	2.79080422222222	0.5358938
ENSTGUG00000000123	5.35873244444444	1.763479
ENSTGUG00000000124	3.25923555555556	5.43361133333333
ENSTGUG00000000125	0.0494655111111111	0.235332733333333
ENSTGUG00000000126	0.845338666666667	0.668562333333333
ENSTGUG00000000127	4.79150844444444	0.313785766666667
ENSTGUG00000000128	6.91495988888889	7.41057533333333
ENSTGUG00000000129	4.81737766666667	0.495461033333333
ENSTGUG00000000130	0.412655033333333	0
ENSTGUG00000000131	4.39148466666667	0
ENSTGUG00000000132	2.28389577777778	4.159035
ENSTGUG00000000133	3.210807	2.383938
ENSTGUG00000000134	6.61465122222222	7.02159766666667
ENSTGUG00000000135	1.83726177777778	0.717261633333333
ENSTGUG00000000137	0.0631446555555556	0.222328533333333
ENSTGUG00000000138	0.442918611111111	1.26342423333333
ENSTGUG00000000139	1.09372288888889	0.988743
ENSTGUG00000000140	1.98560044444444	3.01798
ENSTGUG00000000141	4.06375455555556	4.67819033333333
ENSTGUG00000000142	3.30143044444444	5.75531
ENSTGUG00000000143	7.14093644444444	7.901563
ENSTGUG00000000144	5.23118688888889	6.63999466666667
ENSTGUG00000000145	1.37333222222222	2.567485
ENSTGUG00000000146	4.65882166666667	6.30103
ENSTGUG00000000147	3.02407444444444	3.571395
ENSTGUG00000000148	4.88044066666667	2.43517966666667
ENSTGUG00000000149	7.29843066666667	7.7958
ENSTGUG00000000150	5.839632	4.27554966666667
ENSTGUG00000000151	12.7420244444444	11.5377466666667
ENSTGUG00000000152	10.6898887777778	12.5431466666667
ENSTGUG00000000153	4.73750066666667	4.34797866666667
ENSTGUG00000000154	0.658917644444444	0.829492533333333
ENSTGUG00000000155	6.11759977777778	7.30675066666667
ENSTGUG00000000156	5.02390377777778	2.415816
ENSTGUG00000000157	1.32773944444444	8.35668066666667
ENSTGUG00000000158	5.41952011111111	1.524754
ENSTGUG00000000159	5.88871566666667	3.389167
ENSTGUG00000000160	2.99607533333333	1.11348063333333
ENSTGUG00000000161	8.49200666666667	8.42416266666667
ENSTGUG00000000162	6.84990288888889	6.95458333333333
ENSTGUG00000000163	6.01135733333333	4.71180066666667
ENSTGUG00000000164	4.36649911111111	3.48186466666667
ENSTGUG00000000166	4.32576844444444	3.69888733333333
ENSTGUG00000000167	0.917893044444444	1.49164386666667
ENSTGUG00000000168	3.26255877777778	1.935445
ENSTGUG00000000169	5.216675	6.26837733333333
ENSTGUG00000000170	3.44029044444444	1.8775722
ENSTGUG00000000171	6.86086233333333	7.488369
ENSTGUG00000000172	6.239025	6.58007733333333
ENSTGUG00000000173	3.42077322222222	0.536366733333333
ENSTGUG00000000174	2.87882622222222	0.964239733333333
ENSTGUG00000000175	3.78333744444444	7.541461
ENSTGUG00000000176	6.76551388888889	7.18086566666667
ENSTGUG00000000177	5.33641877777778	3.806075
ENSTGUG00000000178	10.1740376666667	9.563263
ENSTGUG00000000179	0.0376751355555556	0.0129485833333333
ENSTGUG00000000180	4.77029511111111	5.03592066666667
ENSTGUG00000000181	5.32645122222222	7.84992066666667
ENSTGUG00000000182	5.34445633333333	4.94883166666667
ENSTGUG00000000183	5.73632944444444	4.11475033333333
ENSTGUG00000000184	7.22599933333333	6.64173
