brain	liver	testis
ENSTBEG00000000002	0	0.04180575	NA
ENSTBEG00000000003	8.9703155	8.24737575	NA
ENSTBEG00000000004	0	0	NA
ENSTBEG00000000005	3.098602	1.2914525	NA
ENSTBEG00000000006	0.17933315	0.022069905	NA
ENSTBEG00000000007	0.12018345	0	NA
ENSTBEG00000000008	5.358493	0.021024335	NA
ENSTBEG00000000009	6.9801205	2.21937075	NA
ENSTBEG00000000010	0	0	NA
ENSTBEG00000000011	0	0	NA
ENSTBEG00000000012	2.028197	0.37743925	NA
ENSTBEG00000000013	2.544435	3.6188675	NA
ENSTBEG00000000014	1.38370715	0.092167325	NA
ENSTBEG00000000015	1.481369	6.00781675	NA
ENSTBEG00000000016	0	0	NA
ENSTBEG00000000017	2.886679	2.55647	NA
ENSTBEG00000000018	3.9216185	3.453567	NA
ENSTBEG00000000019	4.2288455	4.1777895	NA
ENSTBEG00000000020	4.751105	4.6443895	NA
ENSTBEG00000000021	4.2320225	3.30896	NA
ENSTBEG00000000022	0	0	NA
ENSTBEG00000000023	4.1527895	0.228809075	NA
ENSTBEG00000000024	0	0	NA
ENSTBEG00000000025	0	0.870668	NA
ENSTBEG00000000026	0.6370518	1.615202825	NA
ENSTBEG00000000027	2.9584725	7.16029125	NA
ENSTBEG00000000028	0.012617965	0	NA
ENSTBEG00000000029	3.2811845	2.19997525	NA
ENSTBEG00000000030	0	0	NA
ENSTBEG00000000031	2.737633	0.503589275	NA
ENSTBEG00000000032	0.12732485	0	NA
ENSTBEG00000000033	0	0.034019725	NA
ENSTBEG00000000034	2.331311	2.051717575	NA
ENSTBEG00000000035	2.3433695	3.5184605	NA
ENSTBEG00000000036	3.106985	1.6387775	NA
ENSTBEG00000000037	1.603467	2.44866275	NA
ENSTBEG00000000038	8.398102	6.42252525	NA
ENSTBEG00000000039	2.09793	1.64324675	NA
ENSTBEG00000000040	7.00422	2.32434475	NA
ENSTBEG00000000041	4.224165	3.16328475	NA
ENSTBEG00000000042	0.31235655	1.07798045	NA
ENSTBEG00000000043	2.4166605	2.01757575	NA
ENSTBEG00000000044	3.532442	4.7417825	NA
ENSTBEG00000000045	8.780848	7.68330475	NA
ENSTBEG00000000046	9.323429	9.90097625	NA
ENSTBEG00000000047	1.812411	1.710286825	NA
ENSTBEG00000000048	7.3882295	4.23347575	NA
ENSTBEG00000000049	0	0	NA
ENSTBEG00000000050	1.864179	1.05192025	NA
ENSTBEG00000000051	3.480791	3.4828995	NA
ENSTBEG00000000052	4.93533	0.532953995	NA
ENSTBEG00000000053	0.2537598	4.5279805	NA
ENSTBEG00000000054	2.4674015	0.07019545	NA
ENSTBEG00000000055	0	0	NA
ENSTBEG00000000056	6.9133575	8.42597725	NA
ENSTBEG00000000057	0.74404475	2.1088535	NA
ENSTBEG00000000058	1.3149045	0.9261062	NA
ENSTBEG00000000059	0	0	NA
ENSTBEG00000000060	8.6341325	4.18259475	NA
ENSTBEG00000000061	0	0	NA
ENSTBEG00000000062	4.985267	3.860042	NA
ENSTBEG00000000063	0	0	NA
ENSTBEG00000000064	1.22072395	0.00809674	NA
ENSTBEG00000000065	9.557055	9.5569345	NA
ENSTBEG00000000066	0.4230119	0.0028278525	NA
ENSTBEG00000000067	4.7610375	4.1683235	NA
ENSTBEG00000000068	2.037956	0.568782425	NA
ENSTBEG00000000069	0	0	NA
ENSTBEG00000000070	0	0	NA
ENSTBEG00000000071	2.515641	1.14408225	NA
ENSTBEG00000000072	3.240469	0.67791265	NA
ENSTBEG00000000073	0	0	NA
ENSTBEG00000000074	0.21550675	0	NA
ENSTBEG00000000075	0	0	NA
ENSTBEG00000000076	0.319659	0.0091278025	NA
ENSTBEG00000000077	0.74150385	0.834338075	NA
ENSTBEG00000000078	4.505794	0.746111175	NA
ENSTBEG00000000079	0.3943417	0.716019775	NA
ENSTBEG00000000080	5.552649	4.499282	NA
ENSTBEG00000000081	3.036421	0.20073006	NA
ENSTBEG00000000082	0	0	NA
ENSTBEG00000000083	3.3964915	2.1017765	NA
ENSTBEG00000000084	1.2328375	1.6586275	NA
ENSTBEG00000000085	0	0	NA
ENSTBEG00000000086	0.595673	1.59198775	NA
ENSTBEG00000000087	0	0.213397525	NA
ENSTBEG00000000088	0	0	NA
ENSTBEG00000000089	0.5714572	2.85243775	NA
ENSTBEG00000000090	2.3044485	0.97403165	NA
ENSTBEG00000000091	3.7065735	1.878708	NA
ENSTBEG00000000092	1.268668	0	NA
ENSTBEG00000000093	5.614865	3.13293725	NA
ENSTBEG00000000094	0.58363185	1.25060005	NA
ENSTBEG00000000095	6.168769	3.84913275	NA
ENSTBEG00000000096	1.5217469	1.13907905	NA
ENSTBEG00000000097	2.06985	2.41235375	NA
ENSTBEG00000000098	1.940423	2.12315125	NA
ENSTBEG00000000099	2.7444445	0	NA
ENSTBEG00000000100	4.5836355	3.03399025	NA
ENSTBEG00000000101	6.4807955	3.40504725	NA
ENSTBEG00000000102	5.7995525	6.072877	NA
ENSTBEG00000000103	4.0257885	3.394015	NA
ENSTBEG00000000104	1.476092	1.7448034	NA
ENSTBEG00000000105	0	0	NA
ENSTBEG00000000106	0.3080965	0	NA
ENSTBEG00000000107	1.4318815	0.822382825	NA
ENSTBEG00000000108	0	0	NA
ENSTBEG00000000109	2.036499	5.0106335	NA
ENSTBEG00000000110	5.559215	1.944953	NA
ENSTBEG00000000111	5.9660305	6.84199625	NA
ENSTBEG00000000112	0.6467667	0.25654635	NA
ENSTBEG00000000113	7.0673545	4.6425445	NA
ENSTBEG00000000114	4.04464	3.2747735	NA
ENSTBEG00000000115	0	0	NA
ENSTBEG00000000116	0.5706799	0	NA
ENSTBEG00000000117	1.5328375	0.96831175	NA
ENSTBEG00000000118	0	0.25415975	NA
ENSTBEG00000000119	0	0	NA
ENSTBEG00000000120	4.725395	3.58891975	NA
ENSTBEG00000000121	0.3178289	0.085765225	NA
ENSTBEG00000000122	4.219927	3.648166	NA
ENSTBEG00000000123	5.978548	0.866360775	NA
ENSTBEG00000000124	3.3280905	3.04161225	NA
ENSTBEG00000000125	4.4475205	5.46962525	NA
ENSTBEG00000000126	4.896994	2.97891225	NA
ENSTBEG00000000127	5.4796145	3.2323895	NA
ENSTBEG00000000128	3.2513995	3.02755225	NA
ENSTBEG00000000129	0.5461275	0.69712275	NA
ENSTBEG00000000130	5.7329865	4.90527575	NA
ENSTBEG00000000131	3.2651605	4.718711	NA
ENSTBEG00000000132	4.5188735	3.05568175	NA
ENSTBEG00000000133	1.2106989	0.262373975	NA
ENSTBEG00000000134	2.339294	0.486791375	NA
ENSTBEG00000000135	1.4825625	0.1863156	NA
ENSTBEG00000000136	8.257954	1.190164025	NA
ENSTBEG00000000137	2.238448	0	NA
ENSTBEG00000000138	6.010561	4.3944365	NA
ENSTBEG00000000139	1.0895693	3.5289965	NA
ENSTBEG00000000140	3.9371025	0.79591255	NA
ENSTBEG00000000141	5.2938605	2.67946175	NA
ENSTBEG00000000142	5.0996335	1.4987995	NA
ENSTBEG00000000143	7.073922	4.929284	NA
ENSTBEG00000000144	4.51726	2.45375	NA
ENSTBEG00000000145	5.8699745	3.00183775	NA
ENSTBEG00000000146	0.063576975	0	NA
ENSTBEG00000000147	1.92472	4.15352125	NA
ENSTBEG00000000148	6.8803245	3.44511225	NA
ENSTBEG00000000149	6.9126825	1.736673825	NA
ENSTBEG00000000150	4.407982	5.043605	NA
ENSTBEG00000000151	0.6481435	2.8380505	NA
ENSTBEG00000000152	5.8919715	1.5498	NA
ENSTBEG00000000153	2.321566	0.416426425	NA
ENSTBEG00000000154	3.391835	2.57502425	NA
ENSTBEG00000000155	0.920741	1.13530005	NA
ENSTBEG00000000156	2.5317895	0.832010675	NA
ENSTBEG00000000157	3.454239	3.1827815	NA
ENSTBEG00000000158	0	0	NA
ENSTBEG00000000159	3.7948515	0.204882875	NA
ENSTBEG00000000160	1.4300385	1.321978825	NA
ENSTBEG00000000161	0	0	NA
ENSTBEG00000000162	1.7367765	0	NA
ENSTBEG00000000163	4.607501	5.03804125	NA
ENSTBEG00000000164	1.314357	2.4909585	NA
ENSTBEG00000000165	3.965681	2.83912425	NA
ENSTBEG00000000166	0	0	NA
ENSTBEG00000000167	4.066515	0.203193275	NA
ENSTBEG00000000168	2.9982465	4.6915905	NA
ENSTBEG00000000169	1.1971645	1.89430875	NA
ENSTBEG00000000170	3.947448	6.0021275	NA
ENSTBEG00000000171	1.6205585	1.027934525	NA
ENSTBEG00000000172	6.8993155	5.0732225	NA
ENSTBEG00000000173	5.056189	3.88937925	NA
ENSTBEG00000000174	2.861167	5.8741545	NA
ENSTBEG00000000175	4.081939	0.462707875	NA
ENSTBEG00000000176	2.909695	1.92528875	NA
ENSTBEG00000000177	9.393181	9.5825265	NA
ENSTBEG00000000178	2.435491	1.38121175	NA
ENSTBEG00000000179	2.698932	2.13578025	NA
ENSTBEG00000000180	1.60113525	0.517082375	NA
ENSTBEG00000000181	0.28147655	4.50369475	NA
ENSTBEG00000000182	0.6628874	0.6942557	NA
ENSTBEG00000000183	1.7171945	0.92288735	NA
ENSTBEG00000000184	1.1300736	3.322035	NA
ENSTBEG00000000185	0	0	NA
ENSTBEG00000000186	0	0	NA
ENSTBEG00000000187	6.4887835	4.98431925	NA
ENSTBEG00000000188	3.472543	3.1438805	NA
ENSTBEG00000000189	4.532186	2.55127875	NA
ENSTBEG00000000190	2.8582195	1.93555225	NA
ENSTBEG00000000191	0	0.70723435	NA
ENSTBEG00000000192	0.44164595	0.494238425	NA
ENSTBEG00000000193	2.4709045	2.11493225	NA
ENSTBEG00000000194	4.9954175	5.0951825	NA
ENSTBEG00000000195	4.935469	2.86432075	NA
ENSTBEG00000000196	0	0	NA
ENSTBEG00000000197	0.9645991	2.17714025	NA
ENSTBEG00000000198	0.8735245	0.5231382	NA
ENSTBEG00000000199	5.1880915	3.80692875	NA
ENSTBEG00000000200	0.3748538	0	NA
ENSTBEG00000000201	1.9382285	1.9650135	NA
ENSTBEG00000000202	2.1195695	2.622457	NA
ENSTBEG00000000203	5.209421	3.0622735	NA
ENSTBEG00000000204	0	0	NA
ENSTBEG00000000205	3.577061	0.400056725	NA
ENSTBEG00000000206	0.3755319	0.2675713	NA
ENSTBEG00000000207	0.38406135	2.94327925	NA
ENSTBEG00000000208	2.0022105	4.922371	NA
ENSTBEG00000000209	8.691885	7.98479725	NA
ENSTBEG00000000210	0.8064408	0.14869177	NA
ENSTBEG00000000211	2.39268	4.21217525	NA
ENSTBEG00000000212	5.326737	6.493945	NA
ENSTBEG00000000213	5.365648	3.111567	NA
ENSTBEG00000000214	5.8811935	5.91223325	NA
ENSTBEG00000000215	3.623947	4.67313475	NA
ENSTBEG00000000216	4.8501505	3.2996905	NA
ENSTBEG00000000217	3.6813615	2.244332	NA
ENSTBEG00000000218	2.681858	1.4397325	NA
ENSTBEG00000000219	4.7219305	8.13100925	NA
ENSTBEG00000000220	5.428871	5.84105075	NA
ENSTBEG00000000221	0	0	NA
ENSTBEG00000000222	4.5887425	5.14834925	NA
ENSTBEG00000000223	1.8626935	1.333854625	NA
ENSTBEG00000000224	6.4047315	5.623057	NA
ENSTBEG00000000225	0.4645562	0.058639375	NA
ENSTBEG00000000226	4.8976605	2.04483175	NA
ENSTBEG00000000227	1.2226635	1.15397845	NA
ENSTBEG00000000228	0	0	NA
ENSTBEG00000000229	0.90566215	0.0017396015	NA
ENSTBEG00000000230	0.36879845	0.46920125	NA
ENSTBEG00000000231	1.555668	0	NA
ENSTBEG00000000232	0.56076925	8.853584	NA
ENSTBEG00000000233	0.8153802	0	NA
ENSTBEG00000000234	7.258248	3.978525	NA
ENSTBEG00000000235	3.2075595	2.44892675	NA
ENSTBEG00000000236	0	0.009187615	NA
ENSTBEG00000000237	2.704004	3.45194375	NA
ENSTBEG00000000238	8.1557975	1.06808885	NA
ENSTBEG00000000239	0	0.004944975	NA
ENSTBEG00000000240	5.9336055	5.436118	NA
ENSTBEG00000000241	4.1668805	0.188104	NA
ENSTBEG00000000242	4.9525165	3.5491305	NA
ENSTBEG00000000243	3.0005585	3.01426225	NA
ENSTBEG00000000244	3.4947945	2.359379	NA
ENSTBEG00000000245	2.154694	4.2233385	NA
ENSTBEG00000000246	5.5793635	4.99085075	NA
ENSTBEG00000000247	4.794983	4.980792	NA
ENSTBEG00000000248	5.826136	4.753181	NA
ENSTBEG00000000249	4.5625145	0.36394695	NA
ENSTBEG00000000250	3.357376	2.58466075	NA
ENSTBEG00000000251	4.7621395	5.56026275	NA
ENSTBEG00000000252	5.1722375	3.89984575	NA
ENSTBEG00000000253	5.304256	3.671024	NA
ENSTBEG00000000254	4.204514	3.634173	NA
ENSTBEG00000000255	3.9055415	3.38476325	NA
ENSTBEG00000000256	3.5604075	3.97451125	NA
ENSTBEG00000000257	2.1409755	0	NA
ENSTBEG00000000258	0.08497725	0.244739175	NA
ENSTBEG00000000259	2.2432875	0.991503375	NA
ENSTBEG00000000260	0	0.390376425	NA
ENSTBEG00000000261	2.557883	2.17249895	NA
ENSTBEG00000000262	4.4909485	5.1929245	NA
ENSTBEG00000000263	5.9377175	4.90811275	NA
ENSTBEG00000000264	1.6717945	3.04374525	NA
ENSTBEG00000000265	1.523217	1.272058	NA
ENSTBEG00000000266	1.75720575	0.04543058	NA
ENSTBEG00000000267	0	0	NA
ENSTBEG00000000268	4.849877	2.82425125	NA
ENSTBEG00000000269	0	0.0475765	NA
ENSTBEG00000000270	7.8379935	5.61902775	NA
ENSTBEG00000000271	6.682902	0	NA
ENSTBEG00000000272	4.8971665	1.27282075	NA
ENSTBEG00000000273	8.2749205	6.2958835	NA
ENSTBEG00000000274	2.6998775	2.09710475	NA
ENSTBEG00000000275	2.9985635	2.654425	NA
ENSTBEG00000000276	0.4521334	0.289150975	NA
ENSTBEG00000000277	3.3216445	4.093124	NA
ENSTBEG00000000278	1.424679	0.62855905	NA
ENSTBEG00000000279	0	0.100545335	NA
ENSTBEG00000000280	0	0.149943875	NA
ENSTBEG00000000281	2.9123435	1.332991225	NA
ENSTBEG00000000282	0.01016419	0.0149118825	NA
ENSTBEG00000000283	2.639641	3.4467515	NA
ENSTBEG00000000284	2.0398915	1.990696875	NA
ENSTBEG00000000285	0	0.047330875	NA
ENSTBEG00000000286	1.784799	1.637414975	NA
ENSTBEG00000000287	3.17597	0.7796122	NA
ENSTBEG00000000288	3.4705225	2.4092255	NA
ENSTBEG00000000289	0.7863683	1.525191525	NA
ENSTBEG00000000290	0	0.017427775	NA
ENSTBEG00000000291	5.62906	4.28230575	NA
ENSTBEG00000000292	0.5322345	2.448529325	NA
ENSTBEG00000000293	6.4301305	5.17952825	NA
ENSTBEG00000000294	2.4359845	0.28085015	NA
ENSTBEG00000000295	4.75394	4.53439	NA
ENSTBEG00000000296	7.068398	3.67550575	NA
ENSTBEG00000000297	7.3586555	0.4732326	NA
ENSTBEG00000000298	1.0400673	2.84300425	NA
ENSTBEG00000000299	0.34513525	0.280443525	NA
ENSTBEG00000000300	1.810989	0.1242856625	NA
ENSTBEG00000000301	3.2948625	3.0415185	NA
ENSTBEG00000000302	1.910514	0.375633325	NA
ENSTBEG00000000303	4.917161	4.5559905	NA
ENSTBEG00000000304	1.842188	4.2242025	NA
ENSTBEG00000000305	3.136242	3.34386675	NA
ENSTBEG00000000306	0.4902581	0.20914789	NA
ENSTBEG00000000307	3.5187545	4.47210025	NA
ENSTBEG00000000308	0.7919641	0.1181529775	NA
ENSTBEG00000000309	2.365124	0.175474425	NA
ENSTBEG00000000310	0.6352295	0.249606825	NA
ENSTBEG00000000311	3.7251625	2.83667	NA
ENSTBEG00000000312	3.7637105	5.10690475	NA
ENSTBEG00000000313	1.38004385	2.673588	NA
ENSTBEG00000000314	4.550245	5.02980525	NA
ENSTBEG00000000315	4.005604	3.566709	NA
ENSTBEG00000000316	5.4940675	4.38847525	NA
ENSTBEG00000000317	0.1855141	0.5051912	NA
ENSTBEG00000000318	2.3556105	0	NA
ENSTBEG00000000319	3.7727805	2.211288	NA
ENSTBEG00000000320	1.068242	2.79552325	NA
ENSTBEG00000000321	5.778001	5.218443	NA
ENSTBEG00000000322	4.494657	1.77261425	NA
ENSTBEG00000000323	0.06927225	0	NA
ENSTBEG00000000324	6.32463	8.31785	NA
