brain	heart	kidney	liver	ovary	testis
ENSXETG00000000002	3.3906335	3.19124214285714	4.607557875	3.94822411764706	6.33887575	4.4308505
ENSXETG00000000003	1.577667325	1.78740865714286	1.7551124125	1.9018083	1.301181825	0.6392702
ENSXETG00000000004	0.01127376625	0.446182852857143	0.0796483625	0.0189931282352941	0.00969771	0.12937139
ENSXETG00000000007	3.06216875	1.80605657142857	2.427526	2.31009505882353	2.49410525	3.9134235
ENSXETG00000000009	1.4890106625	3.71056457142857	0.7571143	0.617459254117647	0.1626815275	0.7771054
ENSXETG00000000011	1.7882313875	1.4751646	6.164874	1.98077731176471	4.9432065	2.2517835
ENSXETG00000000013	3.531766	4.10782271428571	5.512325625	4.08445364705882	4.780683	5.3075885
ENSXETG00000000014	4.750311	0.0433820628571429	0.20558939	0.0883530270588235	1.2913489	2.11882625
ENSXETG00000000016	0.9998055125	0.887474114285714	1.1968131875	1.41102322352941	0.14506305	1.4295884
ENSXETG00000000020	1.9995755	0.350477728571429	4.17883125	1.79751597058824	2.095096	4.67153375
ENSXETG00000000021	3.221245	0.8858846	2.701885125	1.60118329411765	7.6919745	4.670625
ENSXETG00000000022	5.374708375	4.67275771428571	4.369596	3.52685688235294	6.34651625	5.302422
ENSXETG00000000026	1.5896502625	0.500808505714286	1.5336095625	0.807268636470588	7.78279125	8.446795
ENSXETG00000000029	2.552229125	3.82004957142857	2.9530924375	1.24311471176471	2.65706475	2.66935425
ENSXETG00000000035	5.37436225	4.64525914285714	4.75562925	4.03254358823529	5.7144795	5.033651
ENSXETG00000000036	5.1930465	5.99768542857143	6.301296	5.35015605882353	6.528769	6.2294175
ENSXETG00000000037	7.823927125	5.48697171428571	6.479886375	5.74626682352941	6.1094695	7.13884775
ENSXETG00000000038	5.19264375	4.44949742857143	5.479464	5.293828	7.5243105	8.31240425
ENSXETG00000000039	0.4892453375	0.123906652857143	1.6571276125	0.784451117647059	0.051060875	0.5364405
ENSXETG00000000040	6.118817375	4.70652528571429	7.111571	5.68207123529412	7.24901075	6.13674325
ENSXETG00000000041	0.248211195	0.0181014242857143	0.1194408075	0.0516104294117647	0.280267175	2.56379425
ENSXETG00000000042	3.6398055	3.55755357142857	3.452006875	2.85273841176471	4.4806835	5.6101035
ENSXETG00000000043	5.6756215	4.12263557142857	4.797567875	4.245783	6.219564	5.74776775
ENSXETG00000000044	3.300696875	1.82177328571429	3.001430125	2.99593352941176	4.83654675	4.2547085
ENSXETG00000000046	0.5081961875	0.431633201428571	0.3121527	0.598261758823529	0.4342886	3.112501
ENSXETG00000000048	0.02727752625	0.0992346757142857	1.394893065	0.654299129411765	0.0365759375	0.614413925
ENSXETG00000000049	3.965563125	3.66387457142857	3.423012875	2.64540317647059	3.6370215	6.764848
ENSXETG00000000050	3.3760365	1.356765	1.53980665	0.611562805882353	2.1126715	4.3448565
ENSXETG00000000051	2.370167	1.663117	2.166750825	1.29484011176471	4.48737775	2.6338965
ENSXETG00000000052	5.627936125	1.814061	2.293555375	1.97145747058824	4.93767525	5.742474
ENSXETG00000000053	3.075088875	1.22657922857143	1.7402396625	1.53193611764706	0.5301395	1.561715075
ENSXETG00000000054	3.7245925	2.24212471428571	2.935175375	2.203637	5.532838	4.304708
ENSXETG00000000055	0.9755869375	0.317403157142857	0.686511375	0.633777089411765	0.197644655	0.5084743
ENSXETG00000000056	5.430439125	5.05269557142857	6.000959875	5.61591123529412	7.2490285	6.09697625
ENSXETG00000000057	2.663209125	3.71218642857143	4.737097875	3.82290252941176	5.85985325	3.3115045
ENSXETG00000000060	5.1816675	3.73220828571429	4.502975125	3.20613847058824	4.509075	5.79180175
ENSXETG00000000061	7.262257	1.00858097142857	3.356892125	0.833349135294118	5.80213	6.34910775
ENSXETG00000000062	4.468441625	4.47611028571429	4.02712	3.85993605882353	5.7148715	4.2028545
ENSXETG00000000063	0	0	0.0040396225	0.00351079529411765	0	0.110889095
ENSXETG00000000066	5.88587625	4.84624371428571	5.5687385	4.86190123529412	6.6009085	5.857266
ENSXETG00000000067	0.7476336625	0.0494570228571429	3.40735525	1.49395882941176	1.0593758	0.622016225
ENSXETG00000000068	3.330706375	1.49494514285714	2.24995675	1.790419	4.515505	3.763517
ENSXETG00000000070	4.7444385	2.76331785714286	3.5008055	2.81518729411765	4.702732	5.21530425
ENSXETG00000000071	3.879926125	2.32365328571429	2.882985	2.19401335294118	5.03957375	5.04522175
ENSXETG00000000072	3.545951875	2.18324242857143	2.825690375	2.523647	5.9008265	4.40321275
ENSXETG00000000073	5.124220375	4.09102342857143	5.161155375	4.89427382352941	7.5990465	7.22726775
ENSXETG00000000074	8.3152265	1.4275389	0.4952629125	0.271888695882353	0.8983492	4.046561
ENSXETG00000000076	6.102646625	5.40820728571429	4.804564375	3.74453464705882	0.27189865	4.8670965
ENSXETG00000000078	2.50468575	5.78446414285714	4.025852375	4.32480788235294	2.3148615	3.2117295
ENSXETG00000000079	2.078296125	1.40867515714286	1.6197000125	1.160279	1.262492375	1.8731955
ENSXETG00000000081	5.967303	3.41177857142857	1.254621275	0.198968576470588	0.727786385	2.90325325
ENSXETG00000000082	5.27569825	4.38278214285714	5.267348625	4.60651405882353	6.94418075	6.2895445
ENSXETG00000000083	4.447752875	2.70810828571429	3.639749125	3.58842676470588	4.20596025	4.45299675
ENSXETG00000000087	6.520823125	5.28530542857143	4.911273125	3.57649435294118	2.802768	4.902253
ENSXETG00000000088	2.60439075	2.41624157142857	7.706247	6.75137176470588	4.050967	6.16062625
ENSXETG00000000089	3.863517875	2.26324271428571	8.196864125	4.21535623529412	2.21029925	4.64526625
ENSXETG00000000091	5.732219	3.73479671428571	4.443094875	3.67506735294118	6.861474	4.84795425
ENSXETG00000000093	0	0	0.0161311975	0.0978810011764706	0	0.129100905
ENSXETG00000000101	2.348123	2.30779057142857	4.617357375	4.86279411764706	0.363694225	1.47159045
ENSXETG00000000104	0.4864273	0.877167074285714	1.9829527	6.60989317647059	0.098451425	1.8967018
ENSXETG00000000108	1.34901575	1.68177457142857	2.0235225875	1.90359852941176	4.9634335	3.42780875
ENSXETG00000000109	11.62183125	11.7107342857143	12.31525625	12.3935688235294	10.04134425	12.04836
ENSXETG00000000110	1.678492725	0.374750572857143	1.8090205125	0.0329076605882353	0.061100265	2.6106335
ENSXETG00000000111	0.515101375	0.0496184514285714	0.181982775	0.106810070588235	0	3.123149
ENSXETG00000000114	0.0738023	3.03371871428571	4.806787875	1.8580624	0.381828775	0.88501405
ENSXETG00000000116	5.444394875	3.28601057142857	3.9439965	3.11455564705882	7.82781925	6.70031675
ENSXETG00000000117	6.192481125	2.09801857142857	3.825994125	3.12802070588235	5.867705	4.1428165
ENSXETG00000000118	2.86024	2.16966247142857	1.7479802125	1.197287	0.032849175	1.6735132
ENSXETG00000000121	2.499888375	2.657759	3.13768635	2.85501211764706	4.25164375	2.960265
ENSXETG00000000124	6.18846475	4.428391	7.177691625	5.34021605882353	4.2561545	4.66356025
ENSXETG00000000128	1.5617808375	0.33769144	0.89225285	0.694153066470588	0.075443885	0.449711925
ENSXETG00000000129	5.477920125	4.48117857142857	4.931099875	3.85085223529412	7.37469275	5.3781245
ENSXETG00000000130	4.964454	2.060687	4.9743245	0.0473370264705882	0.12372856	2.57315675
ENSXETG00000000132	10.66548	11.15669	11.60483625	11.2517205882353	9.16846725	11.1937775
ENSXETG00000000135	7.152102	8.18576271428572	4.46295525	0.839283941176471	0.1307351725	4.8344565
ENSXETG00000000137	1.981640175	0.0740027214285714	0.01805295	0.00994941176470588	0	0.889321775
ENSXETG00000000138	6.092942375	4.18245671428571	4.417117125	2.60146011764706	8.746671	7.6624935
ENSXETG00000000139	0.02515223875	0.0168635571428571	0.01368492375	0	0.0231269975	2.153974
ENSXETG00000000140	5.37243675	3.60687985714286	3.92845425	2.70624829411765	8.5738755	7.2666295
ENSXETG00000000142	3.646181875	0	0.0722618875	0.122458699411765	0.0165242625	0.52081228
ENSXETG00000000143	4.321073875	4.48812714285714	4.44538925	3.50546629411765	3.35797725	4.298438
ENSXETG00000000145	4.7002965	2.96024142857143	3.91192675	2.98343917647059	3.9665695	4.35017775
ENSXETG00000000147	2.58883225	0.0341792542857143	0.36061629625	0.0396463735294118	5.84944575	5.2077005
ENSXETG00000000148	0.20820165	0.172015657142857	0.404686175	0.492506709411765	0.15234775	0.835286725
ENSXETG00000000150	4.20764	2.93180671428571	4.367488	3.39099517647059	3.83760075	4.306649
ENSXETG00000000151	4.9077715	3.98491614285714	4.37147375	4.22350670588235	6.32982425	6.288758
ENSXETG00000000152	4.90793825	3.18799728571429	4.28989925	3.69876311764706	1.93986775	4.00319225
ENSXETG00000000154	2.098080625	3.11416342857143	3.133417	2.18466229411765	0.27490002	1.59965025
ENSXETG00000000155	3.867550875	1.12368152857143	6.831637	3.53907464705882	6.80076225	4.42418775
ENSXETG00000000156	1.7515817125	2.781945	1.8522251	2.34370476470588	0.246618925	1.193770875
ENSXETG00000000157	3.840488	1.68738814285714	3.540498	2.54950047058824	6.214032	6.21157
ENSXETG00000000158	4.540318375	1.88368185714286	1.878805375	1.96879317647059	4.3725895	1.554827425
ENSXETG00000000161	6.159506625	3.75418128571429	3.498888125	2.934697	7.0235105	5.15549275
ENSXETG00000000170	2.415044175	1.15199107142857	1.607014375	1.20023521176471	5.04424475	3.455621
ENSXETG00000000172	3.38622725	1.35280642857143	5.31698375	5.24152805882353	0.47888935	4.37528975
ENSXETG00000000183	4.545303625	2.16371428571429	2.3919285	1.4606896	6.5334995	3.0781785
ENSXETG00000000185	3.57806775	2.067228	2.572524	1.66722047058824	5.7999815	4.0491355
ENSXETG00000000187	6.21052675	6.67456942857143	8.40209225	7.62383147058824	7.622828	6.3469135
