	Anolis_carolinensis	Astyanax_mexicanus	Bos_taurus	Callithrix_jacchus	Canis_lupus	Chinchilla_lanigera	Danio_rerio	Gadus_morhua	Gallus_gallus	Homo_sapiens	Macaca_mulatta	Monodelphis_domestica	Mus_musculus	Oreochromis_niloticus	Ornithorhynchus_anatinus	Oryctolagus_cuniculus	Oryzias_latipes	Ovis_aries	Rattus_norvegicus	Sus_scrofa	Xenopus_tropicalis
Number of genes	18595	23042	19994	20978	19856	17809	25889	20095	18346	23070	21099	21327	22785	21437	21698	19293	19699	20921	22250	22452	18442
Number of genes in orthogroups	17744	21615	19793	19942	18909	17554	24226	18758	16905	22584	19461	20081	21987	21128	18285	18829	18517	20272	21587	20982	17762
Number of unassigned genes	851	1427	201	1036	947	255	1663	1337	1441	486	1638	1246	798	309	3413	464	1182	649	663	1470	680
Percentage of genes in orthogroups	95.4	93.8	99.0	95.1	95.2	98.6	93.6	93.3	92.1	97.9	92.2	94.2	96.5	98.6	84.3	97.6	94.0	96.9	97.0	93.5	96.3
Percentage of unassigned genes	4.6	6.2	1.0	4.9	4.8	1.4	6.4	6.7	7.9	2.1	7.8	5.8	3.5	1.4	15.7	2.4	6.0	3.1	3.0	6.5	3.7
Number of orthogroups containing species	12171	13049	13751	13787	13690	13286	13076	12026	11807	14255	13561	12896	14141	12070	11997	12897	11731	14041	13949	14084	11583
Percentage of orthogroups containing species	68.0	72.9	76.8	77.0	76.5	74.2	73.1	67.2	66.0	79.7	75.8	72.1	79.0	67.4	67.0	72.1	65.6	78.5	77.9	78.7	64.7
Number of species-specific orthogroups	10	9	0	2	5	0	8	2	16	2	2	2	4	3	10	1	7	0	6	3	8
Number of genes in species-specific orthogroups	66	36	0	9	31	0	41	6	157	9	29	21	214	10	30	13	56	0	57	11	292
Percentage of genes in species-specific orthogroups	0.4	0.2	0.0	0.0	0.2	0.0	0.2	0.0	0.9	0.0	0.1	0.1	0.9	0.0	0.1	0.1	0.3	0.0	0.3	0.0	1.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	5725	4847	4145	4109	4206	4610	4820	5870	6089	3641	4335	5000	3755	5826	5899	4999	6165	3855	3947	3812	6313
'1	9531	8503	10940	10637	10935	10765	8515	8306	9193	10832	10561	10081	11210	7884	8798	10232	8026	11032	10848	11046	9031
'2	1876	2815	1947	2153	1917	1798	2762	2378	1901	2276	1987	1954	1986	2525	2228	1818	2374	2040	2084	2066	1782
'3	478	939	511	558	499	449	915	763	478	571	541	546	515	866	597	493	773	552	583	553	436
'4	150	393	159	207	181	159	403	313	112	198	215	158	170	370	200	151	279	191	186	217	156
'5	36	193	44	79	49	51	186	116	41	98	86	39	84	170	65	57	131	65	65	72	53
'6	25	91	48	44	23	15	101	63	20	67	48	28	37	90	35	42	58	36	36	31	35
'7	13	42	24	20	22	15	48	28	4	51	38	19	21	50	23	20	25	28	36	23	18
'8	11	13	14	19	17	13	31	15	7	49	22	17	19	22	11	11	15	15	14	16	11
'9	6	18	9	13	15	2	16	9	9	19	15	7	11	23	5	13	6	10	15	11	7
'10	7	11	11	9	5	3	14	10	3	20	4	4	12	12	2	9	5	7	10	6	3
11-15	11	15	19	22	16	12	28	12	14	33	27	12	33	24	14	29	20	30	35	21	16
16-20	6	5	13	12	1	0	18	7	3	15	7	10	17	8	6	9	4	14	13	10	10
21-50	14	7	7	9	7	1	29	4	18	20	7	10	13	17	8	6	10	18	16	7	14
51-100	4	2	2	3	0	2	6	1	1	2	1	4	5	5	2	3	5	2	3	2	4
101-150	1	1	2	0	2	0	2	0	1	1	0	2	5	3	1	3	0	0	4	2	4
151-200	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1
201-500	2	0	0	1	1	1	1	1	2	3	0	3	2	1	1	0	0	1	0	0	2
501-1000	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	32.0	27.1	23.2	23.0	23.5	25.8	26.9	32.8	34.0	20.3	24.2	27.9	21.0	32.6	33.0	27.9	34.4	21.5	22.1	21.3	35.3
'1	53.3	47.5	61.1	59.4	61.1	60.2	47.6	46.4	51.4	60.5	59.0	56.3	62.6	44.1	49.2	57.2	44.8	61.6	60.6	61.7	50.5
'2	10.5	15.7	10.9	12.0	10.7	10.0	15.4	13.3	10.6	12.7	11.1	10.9	11.1	14.1	12.4	10.2	13.3	11.4	11.6	11.5	10.0
'3	2.7	5.2	2.9	3.1	2.8	2.5	5.1	4.3	2.7	3.2	3.0	3.1	2.9	4.8	3.3	2.8	4.3	3.1	3.3	3.1	2.4
'4	0.8	2.2	0.9	1.2	1.0	0.9	2.3	1.7	0.6	1.1	1.2	0.9	0.9	2.1	1.1	0.8	1.6	1.1	1.0	1.2	0.9
'5	0.2	1.1	0.2	0.4	0.3	0.3	1.0	0.6	0.2	0.5	0.5	0.2	0.5	0.9	0.4	0.3	0.7	0.4	0.4	0.4	0.3
'6	0.1	0.5	0.3	0.2	0.1	0.1	0.6	0.4	0.1	0.4	0.3	0.2	0.2	0.5	0.2	0.2	0.3	0.2	0.2	0.2	0.2
'7	0.1	0.2	0.1	0.1	0.1	0.1	0.3	0.2	0.0	0.3	0.2	0.1	0.1	0.3	0.1	0.1	0.1	0.2	0.2	0.1	0.1
'8	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.0	0.3	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
'9	0.0	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.1	0.1	0.1	0.0	0.1	0.1	0.0	0.1	0.0	0.1	0.1	0.1	0.0
'10	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.1	0.0	0.1	0.0	0.0	0.1	0.0	0.0
11-15	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.1	0.1	0.2	0.2	0.1	0.2	0.1	0.1	0.2	0.1	0.2	0.2	0.1	0.1
16-20	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.1	0.1	0.1	0.1
21-50	0.1	0.0	0.0	0.1	0.0	0.0	0.2	0.0	0.1	0.1	0.0	0.1	0.1	0.1	0.0	0.0	0.1	0.1	0.1	0.0	0.1
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
'1	9531	8503	10940	10637	10935	10765	8515	8306	9193	10832	10561	10081	11210	7884	8798	10232	8026	11032	10848	11046	9031
'2	3752	5630	3894	4306	3834	3596	5524	4756	3802	4552	3974	3908	3972	5050	4456	3636	4748	4080	4168	4132	3564
'3	1434	2817	1533	1674	1497	1347	2745	2289	1434	1713	1623	1638	1545	2598	1791	1479	2319	1656	1749	1659	1308
'4	600	1572	636	828	724	636	1612	1252	448	792	860	632	680	1480	800	604	1116	764	744	868	624
'5	180	965	220	395	245	255	930	580	205	490	430	195	420	850	325	285	655	325	325	360	265
'6	150	546	288	264	138	90	606	378	120	402	288	168	222	540	210	252	348	216	216	186	210
'7	91	294	168	140	154	105	336	196	28	357	266	133	147	350	161	140	175	196	252	161	126
'8	88	104	112	152	136	104	248	120	56	392	176	136	152	176	88	88	120	120	112	128	88
'9	54	162	81	117	135	18	144	81	81	171	135	63	99	207	45	117	54	90	135	99	63
'10	70	110	110	90	50	30	140	100	30	200	40	40	120	120	20	90	50	70	100	60	30
11-15	139	186	256	290	203	143	353	149	175	428	346	157	427	305	170	379	252	362	434	252	213
16-20	99	91	234	212	20	0	321	123	59	261	124	171	294	147	116	164	67	247	230	179	178
21-50	491	199	223	248	213	34	923	94	591	641	211	295	405	495	218	173	264	512	494	230	446
51-100	274	141	122	184	0	154	367	76	55	156	76	261	337	328	133	246	323	194	239	112	229
101-150	132	126	252	0	218	0	258	0	118	117	0	219	586	368	123	377	0	0	472	266	514
151-200	0	169	0	175	0	0	0	0	0	0	351	151	0	0	0	0	0	0	0	0	153
201-500	659	0	0	230	407	277	388	258	510	1080	0	1165	462	230	234	0	0	408	0	0	720
501-1000	0	0	724	0	0	0	816	0	0	0	0	668	909	0	597	567	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1069	1244	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	51.3	36.9	54.7	50.7	55.1	60.4	32.9	41.3	50.1	47.0	50.1	47.3	49.2	36.8	40.5	53.0	40.7	52.7	48.8	49.2	49.0
'2	20.2	24.4	19.5	20.5	19.3	20.2	21.3	23.7	20.7	19.7	18.8	18.3	17.4	23.6	20.5	18.8	24.1	19.5	18.7	18.4	19.3
'3	7.7	12.2	7.7	8.0	7.5	7.6	10.6	11.4	7.8	7.4	7.7	7.7	6.8	12.1	8.3	7.7	11.8	7.9	7.9	7.4	7.1
'4	3.2	6.8	3.2	3.9	3.6	3.6	6.2	6.2	2.4	3.4	4.1	3.0	3.0	6.9	3.7	3.1	5.7	3.7	3.3	3.9	3.4
'5	1.0	4.2	1.1	1.9	1.2	1.4	3.6	2.9	1.1	2.1	2.0	0.9	1.8	4.0	1.5	1.5	3.3	1.6	1.5	1.6	1.4
'6	0.8	2.4	1.4	1.3	0.7	0.5	2.3	1.9	0.7	1.7	1.4	0.8	1.0	2.5	1.0	1.3	1.8	1.0	1.0	0.8	1.1
'7	0.5	1.3	0.8	0.7	0.8	0.6	1.3	1.0	0.2	1.5	1.3	0.6	0.6	1.6	0.7	0.7	0.9	0.9	1.1	0.7	0.7
'8	0.5	0.5	0.6	0.7	0.7	0.6	1.0	0.6	0.3	1.7	0.8	0.6	0.7	0.8	0.4	0.5	0.6	0.6	0.5	0.6	0.5
'9	0.3	0.7	0.4	0.6	0.7	0.1	0.6	0.4	0.4	0.7	0.6	0.3	0.4	1.0	0.2	0.6	0.3	0.4	0.6	0.4	0.3
'10	0.4	0.5	0.6	0.4	0.3	0.2	0.5	0.5	0.2	0.9	0.2	0.2	0.5	0.6	0.1	0.5	0.3	0.3	0.4	0.3	0.2
11-15	0.7	0.8	1.3	1.4	1.0	0.8	1.4	0.7	1.0	1.9	1.6	0.7	1.9	1.4	0.8	2.0	1.3	1.7	2.0	1.1	1.2
16-20	0.5	0.4	1.2	1.0	0.1	0.0	1.2	0.6	0.3	1.1	0.6	0.8	1.3	0.7	0.5	0.9	0.3	1.2	1.0	0.8	1.0
21-50	2.6	0.9	1.1	1.2	1.1	0.2	3.6	0.5	3.2	2.8	1.0	1.4	1.8	2.3	1.0	0.9	1.3	2.4	2.2	1.0	2.4
