	Anolis_carolinensis	Astyanax_mexicanus	Bos_taurus	Callithrix_jacchus	Canis_lupus	Chinchilla_lanigera	Danio_rerio	Gadus_morhua	Gallus_gallus	Homo_sapiens	Macaca_mulatta	Monodelphis_domestica	Mus_musculus	Oreochromis_niloticus	Ornithorhynchus_anatinus	Oryctolagus_cuniculus	Oryzias_latipes	Ovis_aries	Rattus_norvegicus	Sus_scrofa	Xenopus_tropicalis
OG0017896	Anolis_carolinensis_ENSACAG00000013568																				
OG0017897	Anolis_carolinensis_ENSACAG00000002098																				
OG0017898	Anolis_carolinensis_ENSACAG00000017909																				
OG0017899	Anolis_carolinensis_ENSACAG00000009865																				
OG0017900	Anolis_carolinensis_ENSACAG00000025174																				
OG0017901	Anolis_carolinensis_ENSACAG00000029266																				
OG0017902	Anolis_carolinensis_ENSACAG00000000226																				
OG0017903	Anolis_carolinensis_ENSACAG00000028565																				
OG0017904	Anolis_carolinensis_ENSACAG00000027717																				
OG0017905	Anolis_carolinensis_ENSACAG00000029640																				
OG0017906	Anolis_carolinensis_ENSACAG00000029239																				
OG0017907	Anolis_carolinensis_ENSACAG00000008450																				
OG0017908	Anolis_carolinensis_ENSACAG00000027514																				
OG0017909	Anolis_carolinensis_ENSACAG00000007422																				
OG0017910	Anolis_carolinensis_ENSACAG00000006373																				
OG0017911	Anolis_carolinensis_ENSACAG00000006130																				
OG0017912	Anolis_carolinensis_ENSACAG00000028469																				
OG0017913	Anolis_carolinensis_ENSACAG00000028573																				
OG0017914	Anolis_carolinensis_ENSACAG00000028788																				
OG0017915	Anolis_carolinensis_ENSACAG00000005421																				
OG0017916	Anolis_carolinensis_ENSACAG00000004198																				
OG0017917	Anolis_carolinensis_ENSACAG00000026709																				
OG0017918	Anolis_carolinensis_ENSACAG00000022417																				
OG0017919	Anolis_carolinensis_ENSACAG00000013505																				
OG0017920	Anolis_carolinensis_ENSACAG00000028002																				
OG0017921	Anolis_carolinensis_ENSACAG00000023772																				
OG0017922	Anolis_carolinensis_ENSACAG00000025857																				
OG0017923	Anolis_carolinensis_ENSACAG00000028416																				
OG0017924	Anolis_carolinensis_ENSACAG00000022584																				
OG0017925	Anolis_carolinensis_ENSACAG00000029409																				
OG0017926	Anolis_carolinensis_ENSACAG00000027008																				
OG0017927	Anolis_carolinensis_ENSACAG00000027511																				
OG0017928	Anolis_carolinensis_ENSACAG00000023502																				
OG0017929	Anolis_carolinensis_ENSACAG00000021945																				
OG0017930	Anolis_carolinensis_ENSACAG00000003746																				
OG0017931	Anolis_carolinensis_ENSACAG00000000937																				
OG0017932	Anolis_carolinensis_ENSACAG00000029245																				
OG0017933	Anolis_carolinensis_ENSACAG00000011479																				
OG0017934	Anolis_carolinensis_ENSACAG00000023371																				
OG0017935	Anolis_carolinensis_ENSACAG00000015720																				
OG0017936	Anolis_carolinensis_ENSACAG00000000874																				
OG0017937	Anolis_carolinensis_ENSACAG00000010302																				
OG0017938	Anolis_carolinensis_ENSACAG00000000740																				
OG0017939	Anolis_carolinensis_ENSACAG00000027622																				
OG0017940	Anolis_carolinensis_ENSACAG00000001762																				
OG0017941	Anolis_carolinensis_ENSACAG00000023101																				
OG0017942	Anolis_carolinensis_ENSACAG00000009914																				
OG0017943	Anolis_carolinensis_ENSACAG00000022415																				
OG0017944	Anolis_carolinensis_ENSACAG00000017584																				
OG0017945	Anolis_carolinensis_ENSACAG00000024177																				
OG0017946	Anolis_carolinensis_ENSACAG00000028974																				
OG0017947	Anolis_carolinensis_ENSACAG00000003689																				
OG0017948	Anolis_carolinensis_ENSACAG00000025822																				
OG0017949	Anolis_carolinensis_ENSACAG00000003299																				
OG0017950	Anolis_carolinensis_ENSACAG00000005862																				
OG0017951	Anolis_carolinensis_ENSACAG00000008547																				
OG0017952	Anolis_carolinensis_ENSACAG00000026154																				
OG0017953	Anolis_carolinensis_ENSACAG00000012862																				
OG0017954	Anolis_carolinensis_ENSACAG00000001882																				
OG0017955	Anolis_carolinensis_ENSACAG00000023356																				
OG0017956	Anolis_carolinensis_ENSACAG00000023009																				
OG0017957	Anolis_carolinensis_ENSACAG00000023463																				
OG0017958	Anolis_carolinensis_ENSACAG00000009131																				
OG0017959	Anolis_carolinensis_ENSACAG00000002801																				
OG0017960	Anolis_carolinensis_ENSACAG00000003922																				
OG0017961	Anolis_carolinensis_ENSACAG00000028561																				
OG0017962	Anolis_carolinensis_ENSACAG00000028454																				
OG0017963	Anolis_carolinensis_ENSACAG00000025361																				
OG0017964	Anolis_carolinensis_ENSACAG00000013616																				
OG0017965	Anolis_carolinensis_ENSACAG00000029119																				
OG0017966	Anolis_carolinensis_ENSACAG00000024392																				
OG0017967	Anolis_carolinensis_ENSACAG00000027087																				
OG0017968	Anolis_carolinensis_ENSACAG00000000307																				
OG0017969	Anolis_carolinensis_ENSACAG00000003839																				
OG0017970	Anolis_carolinensis_ENSACAG00000024298																				
OG0017971	Anolis_carolinensis_ENSACAG00000008763																				
OG0017972	Anolis_carolinensis_ENSACAG00000008341																				
OG0017973	Anolis_carolinensis_ENSACAG00000025682																				
OG0017974	Anolis_carolinensis_ENSACAG00000025738																				
OG0017975	Anolis_carolinensis_ENSACAG00000013609																				
OG0017976	Anolis_carolinensis_ENSACAG00000028936																				
OG0017977	Anolis_carolinensis_ENSACAG00000023394																				
OG0017978	Anolis_carolinensis_ENSACAG00000029500																				
OG0017979	Anolis_carolinensis_ENSACAG00000002961																				
OG0017980	Anolis_carolinensis_ENSACAG00000026591																				
OG0017981	Anolis_carolinensis_ENSACAG00000009030																				
OG0017982	Anolis_carolinensis_ENSACAG00000014330																				
OG0017983	Anolis_carolinensis_ENSACAG00000026226																				
OG0017984	Anolis_carolinensis_ENSACAG00000001964																				
OG0017985	Anolis_carolinensis_ENSACAG00000028773																				
OG0017986	Anolis_carolinensis_ENSACAG00000014209																				
OG0017987	Anolis_carolinensis_ENSACAG00000005242																				
OG0017988	Anolis_carolinensis_ENSACAG00000024648																				
OG0017989	Anolis_carolinensis_ENSACAG00000013118																				
OG0017990	Anolis_carolinensis_ENSACAG00000022562																				
OG0017991	Anolis_carolinensis_ENSACAG00000009125																				
OG0017992	Anolis_carolinensis_ENSACAG00000015961																				
OG0017993	Anolis_carolinensis_ENSACAG00000007860																				
OG0017994	Anolis_carolinensis_ENSACAG00000024819																				
OG0017995	Anolis_carolinensis_ENSACAG00000012916																				
OG0017996	Anolis_carolinensis_ENSACAG00000022340																				
OG0017997	Anolis_carolinensis_ENSACAG00000026230																				
OG0017998	Anolis_carolinensis_ENSACAG00000004284																				
OG0017999	Anolis_carolinensis_ENSACAG00000027346																				
OG0018000	Anolis_carolinensis_ENSACAG00000028571																				
OG0018001	Anolis_carolinensis_ENSACAG00000025521																				
OG0018002	Anolis_carolinensis_ENSACAG00000014060																				
OG0018003	Anolis_carolinensis_ENSACAG00000012722																				
OG0018004	Anolis_carolinensis_ENSACAG00000003363																				
OG0018005	Anolis_carolinensis_ENSACAG00000023005																				
OG0018006	Anolis_carolinensis_ENSACAG00000023183																				
OG0018007	Anolis_carolinensis_ENSACAG00000003818																				
OG0018008	Anolis_carolinensis_ENSACAG00000017423																				
OG0018009	Anolis_carolinensis_ENSACAG00000029481																				
OG0018010	Anolis_carolinensis_ENSACAG00000024069																				
OG0018011	Anolis_carolinensis_ENSACAG00000026278																				
OG0018012	Anolis_carolinensis_ENSACAG00000017714																				
OG0018013	Anolis_carolinensis_ENSACAG00000017252																				
OG0018014	Anolis_carolinensis_ENSACAG00000025906																				
OG0018015	Anolis_carolinensis_ENSACAG00000029164																				
OG0018016	Anolis_carolinensis_ENSACAG00000000516																				
OG0018017	Anolis_carolinensis_ENSACAG00000022527																				
OG0018018	Anolis_carolinensis_ENSACAG00000010206																				
OG0018019	Anolis_carolinensis_ENSACAG00000013595																				
OG0018020	Anolis_carolinensis_ENSACAG00000022810																				
OG0018021	Anolis_carolinensis_ENSACAG00000028634																				
OG0018022	Anolis_carolinensis_ENSACAG00000024575																				
OG0018023	Anolis_carolinensis_ENSACAG00000012048																				
OG0018024	Anolis_carolinensis_ENSACAG00000003836																				
OG0018025	Anolis_carolinensis_ENSACAG00000003832																				
OG0018026	Anolis_carolinensis_ENSACAG00000004333																				
OG0018027	Anolis_carolinensis_ENSACAG00000024140																				
OG0018028	Anolis_carolinensis_ENSACAG00000000086																				
OG0018029	Anolis_carolinensis_ENSACAG00000028310																				
OG0018030	Anolis_carolinensis_ENSACAG00000007615																				
OG0018031	Anolis_carolinensis_ENSACAG00000022442																				
OG0018032	Anolis_carolinensis_ENSACAG00000000342																				
OG0018033	Anolis_carolinensis_ENSACAG00000007889																				
OG0018034	Anolis_carolinensis_ENSACAG00000002203																				
OG0018035	Anolis_carolinensis_ENSACAG00000015414																				
